player_id,player_name,season,team_abbr,salary_usd,salary_cap_share_t,real_salary_change,cy_A_up,cy_B_offseason,cy_C,contract_year,cy_exogenous,draft_round,experience
mccolcj01,CJ McCollum,2016,POR,2525160.0,0.0360737142857142,-0.0515409139213602,0.0,0.0,1,1.0,1.0,1.0,3.0
mccolcj01,CJ McCollum,2017,POR,3219579.0,0.0342144420828905,6.067248004276725,1.0,0.0,0,1.0,0.0,1.0,4.0
mccolcj01,CJ McCollum,2018,POR,23962573.0,0.2418019475277497,0.0454612375210048,0.0,0.0,0,0.0,0.0,1.0,5.0
mccolcj01,CJ McCollum,2019,POR,25759766.0,0.2527945632973503,-0.000831325228448,0.0,0.0,0,0.0,0.0,1.0,6.0
mccolcj01,CJ McCollum,2020,POR,27556959.0,0.2525844087992667,0.0652173920932275,0.0,0.0,0,0.0,0.0,1.0,7.0
mccolcj01,CJ McCollum,2021,POR,29354152.0,0.2690573052245646,0.0205725827351637,0.0,,0,,,1.0,8.0
mccolcj01,CJ McCollum,2023,NOP,33333333.0,0.2694691430881164,-0.0230664427380175,0.0,0.0,0,0.0,0.0,1.0,10.0
mccolcj01,CJ McCollum,2024,NOP,35802469.0,0.2632534485294117,,,,0,,,1.0,11.0
parsoch01,Chandler Parsons,2016,DAL,15361500.0,0.21945,0.0710163487164436,0.0,1.0,0,1.0,1.0,2.0,5.0
parsoch01,Chandler Parsons,2017,MEM,22116750.0,0.2350345377258235,-0.0077245099528409,0.0,0.0,0,0.0,0.0,2.0,6.0
parsoch01,Chandler Parsons,2018,MEM,23112004.0,0.2332190110998991,0.0144010318020177,0.0,0.0,0,0.0,0.0,2.0,7.0
parsoch01,Chandler Parsons,2019,MEM,24107258.0,0.2365776054955839,,,,0,,,2.0,8.0
boshch01,Chris Bosh,2016,MIA,22192730.0,0.317039,,,,0,,,1.0,13.0
paulch01,Chris Paul,2016,LAC,21468695.0,0.3066956428571428,-0.2075959992577968,0.0,0.0,0,0.0,0.0,1.0,11.0
paulch01,Chris Paul,2017,LAC,22868827.0,0.2430268544102019,0.0076813662777177,0.0,1.0,0,1.0,1.0,1.0,12.0
paulch01,Chris Paul,2018,HOU,24268959.0,0.2448936326942482,0.4287571269714076,1.0,0.0,0,1.0,0.0,1.0,13.0
paulch01,Chris Paul,2019,HOU,35654150.0,0.3498935230618253,0.0087259395050411,0.0,1.0,0,1.0,1.0,1.0,14.0
paulch01,Chris Paul,2020,OKC,38506482.0,0.3529466727772685,0.0740740740740739,0.0,1.0,0,1.0,1.0,1.0,15.0
paulch01,Chris Paul,2021,PHO,41358814.0,0.3790908707607699,-0.2771618272862817,0.0,0.0,0,0.0,0.0,1.0,16.0
paulch01,Chris Paul,2022,PHO,30800000.0,0.2740213523131672,-0.1621539333746285,0.0,0.0,0,0.0,0.0,1.0,17.0
paulch01,Chris Paul,2023,PHO,28400000.0,0.2295877122069523,-0.0135770505385253,0.0,1.0,0,1.0,1.0,1.0,18.0
paulch01,Chris Paul,2024,GSW,30800000.0,0.2264705882352941,,,,0,,,1.0,19.0
lillada01,Damian Lillard,2016,POR,4236286.0,0.0605183714285714,3.2720579783537787,1.0,0.0,0,1.0,0.0,1.0,4.0
lillada01,Damian Lillard,2017,POR,24328425.0,0.2585379914984059,0.020761861589182,0.0,0.0,0,0.0,0.0,1.0,5.0
lillada01,Damian Lillard,2018,POR,26153057.0,0.263905721493441,0.0403724625022614,0.0,0.0,0,0.0,0.0,1.0,6.0
lillada01,Damian Lillard,2019,POR,27977689.0,0.2745602453385672,-0.0050810946855816,0.0,0.0,0,0.0,0.0,1.0,7.0
lillada01,Damian Lillard,2020,POR,29802321.0,0.2731651787351054,0.06122449321984,0.0,0.0,0,0.0,0.0,1.0,8.0
lillada01,Damian Lillard,2021,POR,31626953.0,0.2898895783684693,0.2075066522782018,0.0,0.0,0,0.0,0.0,1.0,9.0
lillada01,Damian Lillard,2022,POR,39344900.0,0.3500435943060498,-0.0186580436540015,0.0,0.0,0,0.0,0.0,1.0,10.0
lillada01,Damian Lillard,2023,POR,42492492.0,0.3435124656426839,-0.0230664488017429,0.0,1.0,0,1.0,1.0,1.0,11.0
lillada01,Damian Lillard,2024,MIL,45640084.0,0.3355888529411764,,,,0,,,1.0,12.0
gallida01,Danilo Gallinari,2016,DEN,14000000.0,0.2,-0.2003188097768332,0.0,0.0,0,0.0,0.0,1.0,8.0
gallida01,Danilo Gallinari,2017,DEN,15050000.0,0.1599362380446333,0.2971616749415839,1.0,1.0,0,1.0,1.0,1.0,9.0
gallida01,Danilo Gallinari,2018,LAC,20559599.0,0.2074631584258325,0.0211481868597314,0.0,0.0,0,0.0,0.0,1.0,10.0
gallida01,Danilo Gallinari,2019,LAC,21587579.0,0.211850628066732,-0.0215180460388865,0.0,1.0,0,1.0,1.0,1.0,11.0
gallida01,Danilo Gallinari,2020,OKC,22615559.0,0.2072920164986251,-0.1377617506602423,0.0,1.0,0,1.0,1.0,1.0,12.0
gallida01,Danilo Gallinari,2021,ATL,19500000.0,0.1787351054078826,0.0191725978647685,0.0,0.0,0,0.0,0.0,1.0,13.0
gallida01,Danilo Gallinari,2022,ATL,20475000.0,0.182161921708185,-0.651625957558116,0.0,,0,,,1.0,14.0
derozde01,DeMar DeRozan,2016,TOR,9500000.0,0.1357142857142857,1.0782001230493874,1.0,0.0,0,1.0,0.0,1.0,7.0
derozde01,DeMar DeRozan,2017,TOR,26540100.0,0.2820414452709883,-0.0075252205513008,0.0,0.0,0,0.0,0.0,1.0,8.0
derozde01,DeMar DeRozan,2018,TOR,27739975.0,0.2799190211907164,-0.0274779195289499,0.0,1.0,0,1.0,1.0,1.0,9.0
derozde01,DeMar DeRozan,2019,SAS,27739975.0,0.2722274288518155,-0.065994500458295,0.0,0.0,0,0.0,0.0,1.0,10.0
derozde01,DeMar DeRozan,2020,SAS,27739975.0,0.2542619156736939,0.0,0.0,0.0,0,0.0,0.0,1.0,11.0
derozde01,DeMar DeRozan,2021,SAS,27739975.0,0.2542619156736939,-0.090242337843835,0.0,1.0,0,1.0,1.0,1.0,12.0
