group,n,mean,median,sd,share_pos,share_near0,share_neg,p25,p75
"cy_B_offseason=1, all",505,0.1268877841611109,0.07598590697792318,0.7782385410519103,0.691089108910891,0.17227722772277226,0.2851485148514851,-0.06899287148695166,0.4400960521055559
"cy_B_offseason=1, cy_C=0",472,0.10713188131563693,0.07145892849932345,0.7873182816170682,0.6800847457627118,0.18220338983050846,0.2944915254237288,-0.07491714448949871,0.41233884938264476
"cy_B_offseason=1, age<28",275,0.32088733670860176,0.15669325968213954,0.7686497382544277,0.7818181818181819,0.14545454545454545,0.2,0.04008180731673505,0.6636733505931556
"cy_B_offseason=1, age>=28",230,-0.1050682025804543,0.04521843790632829,0.7258189639683376,0.5826086956521739,0.20434782608695654,0.3869565217391304,-0.4135142604077391,0.20338384022479383
