model,cy_var,beta,se,p,MDE_80,n,n_cy_1,share_cy_1
"M3c_canonical (V1, baseline)",cy_exogenous,-0.005133238210632884,0.02608830537102684,0.8440319929007538,0.07304725503887514,2054,715,0.34810126582278483
"M3c_composite (V1, composite)",contract_year,0.4544833561715271,0.021877154264518747,0.0,0.06125603194065249,2124,1047,0.4929378531073446
"M3c_circular (V1, circular)",cy_A_up,0.9308668553422701,0.020903933176261075,0.0,0.058531012893531006,2392,607,0.2537625418060201
M3c_alt1: same-team endpoint,cy_same_team_endpoint,0.5855543576147471,0.04514477570474084,0.0,0.12640537197327434,2392,150,0.06270903010033445
M3c_alt2: age-based plateau,cy_age_based,-0.04769129180028942,0.08359507935448529,0.5683904162042142,0.2340662221925588,2392,65,0.02717391304347826
M3c_alt3: walk-back (B_off ∪ same-team jump),cy_walk_back,0.20864122071204605,0.03528407504395465,3.841685192185196e-09,0.09879541012307301,2392,596,0.2491638795986622
M3c_alt4: renewal (B_off ∪ +15% cap-share),cy_renewal_year,0.4871050769898138,0.021933140997982232,0.0,0.061412794794350245,2392,1070,0.44732441471571904
M3c_alt5: extended canonical (exo ∪ rookie ext endpoint),cy_canonical_extended,-0.0202352342923151,0.024434223606532544,0.40768135567786734,0.06841582609829112,2075,796,0.3836144578313253
