cy_var,n,beta_short,R2_short,beta_long,R2_long,se_long,p_long,beta_star_delta1,R2_max,delta_for_zero
cy_exogenous,2054,-0.054017428487635015,0.0018822274230364533,-0.005133238210632885,0.12697982822189213,0.026088305371026823,0.8440319929007536,0.009752673376402444,0.16507377668845977,0.344838687279562
contract_year,2124,0.4466739834078553,0.13861952297072377,0.4544833561715271,0.26295082434563544,0.02187715426451843,0.0,0.45943821705479987,0.34183607164932606,-91.72474603794095
cy_walk_back,2392,0.14673885330467096,0.010847087808162903,0.20864122071204605,0.13818620532981474,0.035284075043954755,3.841685192185196e-09,0.22879383387469662,0.17964206692875917,-10.353060371283602
cy_canonical_extended,2075,-0.07024125164721813,0.003298955119172331,-0.020235234292315107,0.12691803213306285,0.024434223606532662,0.40768135567786934,-0.0048330840640386005,0.16499344177298172,1.3137928141465363
