model,var,beta,t_obs,p_boot_two_sided,p_analytic_homosk
M1a,post_cba_2017,0.218790658508499,6.992688764984296,0.0,
M2c,state_tax_rate,0.15088232545203242,1.2484337535530643,0.3083083083083083,
M3c_canonical,cy_exogenous,-0.005133238210637292,-0.19390881175182556,0.8238238238238238,
R1,contract_year,-0.533524466721144,-21.08780605970189,0.0,
