tau,beta,se,ci_low,ci_high
-2,-0.19442743245861246,0.03932903899662045,-0.27151234889198855,-0.11734251602523639
-1,0.0,0.0,0.0,0.0
0,0.0706761185820708,0.039371877390174635,-0.006492761102671482,0.14784499826681308
1,0.15371181557965574,0.04324488613454992,0.0689518387559379,0.23847179240337357
2,0.14288927232099843,0.05473489037375586,0.03560888718843695,0.2501696574535599
3,0.20866872820751636,0.05001687566020217,0.11063565191352011,0.30670180450151263
4,0.18752081934124323,0.049759696288167385,0.08999181461643516,0.2850498240660513
5,0.4073308613406197,0.0476767748154795,0.31388438270227986,0.5007773399789595
6,0.46332014476205535,0.04872944537353904,0.36781043182991885,0.5588298576941919
