STATE;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
New York;10.50%;10.50%;12.62%;12.62%;12.70%;12.70%;12.70%;12.70%;12.70%;12.70%;12.70%;12.70%;12.70%;12.70%;14.78%;14.78%;14.78%;14.78%;14.78%
North Carolina;8.00%;7.75%;7.75%;7.75%;7.75%;7.75%;5.80%;5.75%;5.75%;5.50%;5.50%;5.25%;5.25%;5.25%;4.99%;4.75%;4.50%;4.25%;3.99%
North Dakota;5.54%;5.54%;4.86%;4.86%;3.99%;3.99%;3.22%;3.22%;2.90%;2.90%;2.90%;2.90%;2.90%;2.90%;2.90%;2.90%;2.50%;2.50%;2.50%
Ohio;8.87%;8.24%;7.93%;7.93%;8.43%;8.43%;7.89%;7.83%;7.50%;7.50%;7.50%;7.50%;7.30%;7.30%;6.49%;6.49%;6.00%;6.00%;5.25%
Oklahoma;6.25%;5.50%;5.50%;5.50%;5.25%;5.25%;5.25%;5.25%;5.00%;5.00%;5.00%;5.00%;5.00%;5.00%;4.75%;4.75%;4.75%;4.75%;4.50%
Oregon;9.00%;9.00%;11.00%;11.00%;10.60%;10.61%;10.62%;10.62%;10.63%;10.64%;10.65%;10.66%;10.67%;14.68%;14.69%;14.69%;14.69%;14.69%;15.42%
Pennsylvania;7.37%;7.05%;7.05%;7.05%;7.00%;7.00%;7.00%;6.99%;6.98%;6.97%;6.96%;6.95%;6.94%;6.94%;6.91%;6.86%;6.86%;6.86%;6.81%
Rhode Island;8.00%;7.00%;6.50%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%;5.99%
South Carolina;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;6.50%;6.40%;6.20%;6.20%
South Dakota;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
Tennessee;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
Texas;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
Utah;5.35%;5.00%;5.00%;5.00%;5.00%;5.00%;5.00%;5.00%;5.00%;5.00%;5.00%;4.95%;4.95%;4.95%;4.95%;4.85%;4.65%;4.55%;4.50%
Vermont;9.50%;9.50%;9.40%;8.95%;8.95%;8.95%;8.95%;8.95%;8.95%;8.95%;8.95%;8.75%;8.75%;8.75%;8.75%;8.75%;8.75%;8.75%;8.75%
Virginia;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%
Washington;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
West Virginia;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;6.50%;5.12%;4.82%;4.82%
Wisconsin;6.75%;6.75%;7.75%;7.75%;7.75%;7.75%;7.65%;7.65%;7.65%;7.65%;7.65%;7.65%;7.65%;7.65%;7.65%;7.65%;7.65%;7.65%;7.65%
Wyoming;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
