player_id,player_name,season,team_abbr,team_next,salary_usd,salary_next,real_salary_change,draft_round,experience,cy_A_up,cy_A_down,cy_B_offseason,cy_B_trade,cy_C,contract_year,cy_exogenous
abrinal01,Álex Abrines,2017,OKC,OKC,5994764.0,5725000.0,-0.09318359268544896,2.0,4.0,0,0,0,0,0,0,0
abrinal01,Álex Abrines,2018,OKC,OKC,5725000.0,3667645.0,-0.3769666819512236,2.0,5.0,0,1,0,0,0,0,0
abrinal01,Álex Abrines,2019,OKC,,3667645.0,,,2.0,6.0,,,,0,0,,
achiupr01,Precious Achiuwa,2021,MIA,TOR,2582160.0,2711280.0,0.019177108695558776,1.0,1.0,0,0,1,0,0,1,1
achiupr01,Precious Achiuwa,2022,TOR,TOR,2711280.0,2840160.0,-0.04815759744486858,1.0,2.0,0,0,0,0,0,0,0
achiupr01,Precious Achiuwa,2023,TOR,2TM,2840160.0,4379526.0,0.4025394753029654,1.0,3.0,1,0,,0,1,1,1
achiupr01,Precious Achiuwa,2024,2TM,,4379526.0,,,1.0,4.0,,,,1,0,,
acyqu01,Quincy Acy,2016,SAC,2TM,981348.0,2965505.0,1.2479364814973084,2.0,4.0,1,0,,0,0,1,
acyqu01,Quincy Acy,2017,2TM,BRK,2965505.0,1709538.0,-0.452610998331639,2.0,5.0,,,,1,0,,
acyqu01,Quincy Acy,2018,BRK,,1709538.0,,,2.0,6.0,,,,0,0,,
adamsja01,Jaylen Adams,2019,ATL,,236854.0,,,,1.0,,,,0,0,,
adamsst01,Steven Adams,2016,OKC,OKC,2279040.0,3140517.0,0.025079663275638264,1.0,3.0,0,0,0,0,1,1,1
adamsst01,Steven Adams,2017,OKC,OKC,3140517.0,22471911.0,5.7944581265665605,1.0,4.0,1,0,0,0,0,1,0
adamsst01,Steven Adams,2018,OKC,OKC,22471911.0,24157304.0,0.045461222441278704,1.0,5.0,0,0,0,0,0,0,0
adamsst01,Steven Adams,2019,OKC,OKC,24157304.0,25842697.0,-0.0008313377606243844,1.0,6.0,0,0,0,0,0,0,0
adamsst01,Steven Adams,2020,OKC,NOP,25842697.0,29592695.0,0.14510861617887638,1.0,7.0,0,0,1,0,0,1,1
adamsst01,Steven Adams,2021,NOP,MEM,29592695.0,17073171.0,-0.4399998911617038,1.0,8.0,0,1,1,0,0,1,1
adamsst01,Steven Adams,2022,MEM,MEM,17073171.0,17926829.0,-0.04591757171289945,1.0,9.0,0,0,0,0,0,0,0
adamsst01,Steven Adams,2023,MEM,,17926829.0,,,1.0,10.0,,,,0,0,,
adebaba01,Bam Adebayo,2018,MIA,MIA,2490360.0,2955840.0,0.15429884287394136,1.0,1.0,0,0,0,0,0,0,0
adebaba01,Bam Adebayo,2019,MIA,MIA,2955840.0,3454080.0,0.0914426071292802,1.0,2.0,0,0,0,0,0,0,0
