player_clean,player_name,player_slug_hh,season,salary_usd
ersan ilyasova,Ersan Ilyasova,ersan-ilyasova,2016,7900000.0
avery bradley,Avery Bradley,avery-bradley,2016,7730337.0
kosta koufos,Kosta Koufos,kosta-koufos,2016,7700000.0
boris diaw,Boris Diaw,boris-diaw,2016,7500000.0
pau gasol,Pau Gasol,pau-gasol,2016,7448760.0
jose calderon,Jose Calderon,jose-manuel-calderon,2016,7402812.0
kevin martin,Kevin Martin,kevin-martin,2016,7402474.0
jj redick,JJ Redick,jj-redick,2016,7085000.0
anthony davis,Anthony Davis,anthony-davis,2016,7070730.0
marvin williams,Marvin Williams,marvin-williams,2016,7000000.0
rodney stuckey,Rodney Stuckey,rodney-stuckey,2016,7000000.0
louis williams,Louis Williams,louis-williams,2016,7000000.0
cory joseph,Cory Joseph,cory-joseph,2016,7000000.0
ed davis,Ed Davis,ed-davis,2016,6980802.0
isaiah thomas,Isaiah Thomas,isaiah-thomas,2016,6912869.0
josh smith,Josh Smith,josh-smith,2016,6830916.0
jae crowder,Jae Crowder,jae-crowder,2016,6796117.0
jason thompson,Jason Thompson,jason-thompson,2016,6752729.0
carl landry,Carl Landry,carl-landry,2016,6750000.0
greivis vasquez,Greivis Vasquez,greivis-vasquez,2016,6600000.0
aron baynes,Aron Baynes,aron-baynes,2016,6500000.0
patrick beverley,Patrick Beverley,patrick-beverley,2016,6486486.0
michael kidd gilchrist,Michael Kidd-Gilchrist,michael-kidd-gilchrist,2016,6331403.0
jarrett jack,Jarrett Jack,jarrett-jack,2016,6300000.0
jodie meeks,Jodie Meeks,jodie-meeks,2016,6270000.0
patrick patterson,Patrick Patterson,patrick-patterson,2016,6268675.0
marco belinelli,Marco Belinelli,marco-belinelli,2016,6060606.0
gerald henderson,Gerald Henderson,gerald-henderson,2016,6000000.0
andrew wiggins,Andrew Wiggins,andrew-wiggins,2016,5758680.0
kyle korver,Kyle Korver,kyle-korver,2016,5746479.0
martell webster,Martell Webster,martell-webster,2016,5713500.0
karl anthony towns,Karl-Anthony Towns,karl-anthony-towns,2016,5703600.0
bradley beal,Bradley Beal,bradley-beal,2016,5694673.0
courtney lee,Courtney Lee,courtney-lee,2016,5675000.0
jamal crawford,Jamal Crawford,jamal-crawford,2016,5675000.0
jj hickson,JJ Hickson,jj-hickson,2016,5583413.0
shaun livingston,Shaun Livingston,shaun-livingston,2016,5543725.0
josh mcroberts,Josh McRoberts,josh-mcroberts,2016,5543725.0
spencer hawes,Spencer Hawes,spencer-hawes,2016,5543725.0
nikola mirotic,Nikola Mirotic,nikola-mirotic,2016,5543725.0
mirza teletovic,Mirza Teletovic,mirza-teletovic,2016,5500000.0
pj tucker,PJ Tucker,pj-tucker,2016,5500000.0
brandan wright,Brandan Wright,brandan-wright,2016,5464000.0
chase budinger,Chase Budinger,chase-budinger,2016,5258082.0
tim duncan,Tim Duncan,tim-duncan,2016,5250000.0
nick young,Nick Young,nick-young,2016,5219169.0
zaza pachulia,Zaza Pachulia,zaza-pachulia,2016,5200000.0
victor oladipo,Victor Oladipo,victor-oladipo,2016,5192520.0
jabari parker,Jabari Parker,jabari-parker,2016,5152440.0
dion waiters,Dion Waiters,dion-waiters,2016,5138430.0
dangelo russell,D'Angelo Russell,dangelo-russell,2016,5103120.0
darren collison,Darren Collison,darren-collison,2016,5013559.0
jonas jerebko,Jonas Jerebko,jonas-jerebko,2016,5000000.0
jr smith,JR Smith,jr-smith,2016,5000000.0
marcus morris,Marcus Morris,marcus-morris,2016,5000000.0
chris andersen,Chris Andersen,chris-andersen,2016,5000000.0
tony allen,Tony Allen,tony-allen,2016,5000000.0
larry sanders,Larry Sanders,larry-sanders,2016,5000000.0
cj watson,CJ Watson,cj-watson,2016,5000000.0
chris kaman,Chris Kaman,chris-kaman,2016,5000000.0
timofey mozgov,Timofey Mozgov,timofey-mozgov,2016,4950000.0
mike dunleavy,Mike Dunleavy,mike-dunleavy,2016,4837500.0
trevor booker,Trevor Booker,trevor-booker,2016,4775000.0
otto porter,Otto Porter,otto-porter,2016,4662960.0
jonas valanciunas,Jonas Valanciunas,jonas-valanciunas,2016,4660482.0
joel embiid,Joel Embiid,joel-embiid,2016,4626960.0
anthony bennett,Anthony Bennett,anthony-bennett,2016,4597276.0
jahlil okafor,Jahlil Okafor,jahlil-okafor,2016,4582680.0
raymond felton,Raymond Felton,raymond-felton,2016,4540000.0
alexis ajinca,Alexis Ajinca,alexis-ajinca,2016,4539607.0
kyle singler,Kyle Singler,kyle-singler,2016,4500000.0
kris humphries,Kris Humphries,kris-humphries,2016,4440000.0
derrick williams,Derrick Williams,derrick-williams,2016,4400000.0
cj miles,CJ Miles,cj-miles,2016,4394225.0
mike miller,Mike Miller,mike-miller,2016,4354127.0
jameer nelson,Jameer Nelson,jameer-nelson,2016,4345000.0
mario chalmers,Mario Chalmers,mario-chalmers,2016,4300000.0
jason smith,Jason Smith,jason-smith,2016,4300000.0
jose juan barea,Jose Juan Barea,jose-juan-barea,2016,4290000.0
jared dudley,Jared Dudley,jared-dudley,2016,4250000.0
damian lillard,Damian Lillard,damian-lillard,2016,4236286.0
cody zeller,Cody Zeller,cody-zeller,2016,4204200.0
aaron gordon,Aaron Gordon,aaron-gordon,2016,4171680.0
kristaps porzingis,Kristaps Porzingis,kristaps-porzingis,2016,4131720.0
vince carter,Vince Carter,vince-carter,2016,4088019.0
devin harris,Devin Harris,devin-harris,2016,4053446.0
thabo sefolosha,Thabo Sefolosha,thabo-sefolosha,2016,4000000.0
ian mahinmi,Ian Mahinmi,ian-mahinmi,2016,4000000.0
jordan hill,Jordan Hill,jordan-hill,2016,4000000.0
alan anderson,Alan Anderson,alan-anderson,2016,4000000.0
nemanja bjelica,Nemanja Bjelica,nemanja-bjelica,2016,3950000.0
harrison barnes,Harrison Barnes,harrison-barnes,2016,3873398.0
marreese speights,Marreese Speights,marreese-speights,2016,3815500.0
alex len,Alex Len,alex-len,2016,3807120.0
dante exum,Dante Exum,dante-exum,2016,3777720.0
steve novak,Steve Novak,steve-novak,2016,3758017.0
nick collison,Nick Collison,nick-collison,2016,3750000.0
kyle oquinn,Kyle O'Quinn,kyle-oquinn,2016,3750000.0
mario hezonja,Mario Hezonja,mario-hezonja,2016,3741480.0
terrence ross,Terrence Ross,terrence-ross,2016,3553917.0
lavoy allen,Lavoy Allen,lavoy-allen,2016,3550000.0
matt barnes,Matt Barnes,matt-barnes,2016,3542500.0
will barton,Will Barton,will-barton,2016,3533333.0
nerlens noel,Nerlens Noel,nerlens-noel,2016,3457800.0
marcus smart,Marcus Smart,marcus-smart,2016,3431040.0
evan turner,Evan Turner,evan-turner,2016,3425510.0
bojan bogdanovic,Bojan Bogdanovic,bojan-bogdanovic,2016,3425510.0
willie cauley stein,Willie Cauley-Stein,willie-cauley-stein,2016,3398280.0
quincy pondexter,Quincy Pondexter,quincy-pondexter,2016,3382023.0
paul pierce,Paul Pierce,paul-pierce,2016,3376000.0
anthony morrow,Anthony Morrow,anthony-morrow,2016,3344000.0
mike scott,Mike Scott,mike-scott,2016,3333333.0
drew gooden,Drew Gooden,drew-gooden,2016,3300000.0
andre drummond,Andre Drummond,andre-drummond,2016,3272090.0
