tier,n,beta_ppg,se_ppg,p_ppg,R2_within_tier
minimum,307,0.09313942636781561,0.03217019494805454,0.003789065966077194,0.4171257103333508
rookie_scale,484,0.09390849523292177,0.026603062606749845,0.0004155783108640394,0.31355606852791984
mid_level,717,0.07811100001792115,0.032582290213112534,0.016514353209202658,0.4597023125679014
high_mid,442,0.07059909649338358,0.016354197416022308,1.582506261691685e-05,0.4705262440865189
max_25,209,0.06793211293465207,0.01968184025777623,0.0005574544315116691,0.4919261257733306
max_30,50,0.03398520853205955,0.013540525195194138,0.012076928652555921,0.48929629506973804
supermax,33,0.0670264449076663,0.020173380674343946,0.0008920852721744447,0.6680714097518847
