tau,beta,se,p,ci_lo,ci_hi
-2,-0.20864735428935197,0.16774771022708332,0.21369845990397773,-0.5376061745656892,0.1203114659869852
-1,-0.15287653073389781,0.16036141597195233,0.34052926536122574,-0.46735058313416367,0.16159752166636807
0,-0.24048244134062233,0.13792382870499983,0.08136924538213752,-0.5109556413465861,0.029990758665341427
+1,0.16521641590242434,0.10372076958220772,0.11132584784228561,-0.038183451396676976,0.3686162832015256
+2,0.21205695707641822,0.09706720885996142,0.029019473322035916,0.02170494290666314,0.4024089712461733
+3,0.22337568168961797,0.10710082378849348,0.0371235599280586,0.013347416049551891,0.433403947329684
4plus,-0.11155823306373752,0.11351729044323532,0.325841416869008,-0.3341694025075513,0.11105293638007624
