target,beta_uncontrolled,beta_restricted,beta_full,R2_uncontrolled,R2_restricted,R2_full,R_max,delta,robust
all_nba_lag1,1.6226530834338975,0.09543835479728957,0.15638668104559167,0.11244285570491219,0.5721611726000254,0.644797676471695,0.8382369794132034,-0.014501242231805028,no
top5_market,-0.0019175803721665774,-0.0752162283114794,-0.10900650507290288,5.492812652496681e-07,0.5726928004664853,0.644797676471695,0.8382369794132034,0.1382984809251116,no
supermax_eligible_loose,1.6758018107036934,0.15547004676113574,0.13362502310001378,0.1281746559822704,0.5727091882282308,0.6450056024856555,0.8385072832313523,0.005379604914561177,no
games_missed_lag1,-0.019888330835204873,-0.006491544573102305,-0.004168797791667938,0.08331391346598549,0.5800307087366838,0.6447976764716947,0.8382369794132032,0.05973223363844102,no
has_career_allstar,1.5777115386217748,0.3001217218920716,0.2122761699614446,0.25838147778556164,0.5776424564464204,0.6459614963790496,0.8397499452927646,0.03437912679576063,no
multi_all_nba,1.4413934154535588,-0.12219339895033787,-0.18869183385322574,0.10162997960163855,0.5723998311627214,0.6452340041507827,0.8388042053960175,0.015144162559185811,no
