block,shapley_R2,share_of_explained
Performance,0.2388451058860485,0.36812889410043803
Age,0.18642193569049748,0.28732973517383886
Demographics,0.09141396529885168,0.1408951706419193
Awards,0.07938821431937625,0.1223600351097152
Durability,0.03721945072348277,0.05736586137292839
International,0.005305997567406333,0.00817806590318334
Team,0.0048699331538571,0.0075059654231633645
Structural,0.004108081440306404,0.00633173316189297
Market,0.0012356809079095287,0.0019045391129210959
