player_clean,player_name,player_slug_hh,season,salary_usd
stephen curry,Stephen Curry,stephen-curry,2021,43006362.0
chris paul,Chris Paul,chris-paul,2021,41358814.0
russell westbrook,Russell Westbrook,russell-westbrook,2021,41358814.0
james harden,James Harden,james-harden,2021,41254920.0
john wall,John Wall,john-wall,2021,41254920.0
kevin durant,Kevin Durant,kevin-durant,2021,40108950.0
lebron james,LeBron James,lebron-james,2021,39219566.0
paul george,Paul George,paul-george,2021,35450412.0
klay thompson,Klay Thompson,klay-thompson,2021,35361360.0
mike conley,Mike Conley,mike-conley,2021,34502132.0
kemba walker,Kemba Walker,kemba-walker,2021,34379100.0
kawhi leonard,Kawhi Leonard,kawhi-leonard,2021,34379100.0
jimmy butler,Jimmy Butler,jimmy-butler,2021,34379100.0
tobias harris,Tobias Harris,tobias-harris,2021,34358850.0
blake griffin,Blake Griffin,blake-griffin,2021,33900241.0
kyrie irving,Kyrie Irving,kyrie-irving,2021,33722850.0
khris middleton,Khris Middleton,khris-middleton,2021,33051724.0
anthony davis,Anthony Davis,anthony-davis,2021,32742000.0
damian lillard,Damian Lillard,damian-lillard,2021,31626953.0
kevin love,Kevin Love,kevin-love,2021,31258256.0
ben simmons,Ben Simmons,ben-simmons,2021,30559200.0
pascal siakam,Pascal Siakam,pascal-siakam,2021,30559200.0
kyle lowry,Kyle Lowry,kyle-lowry,2021,30500000.0
steven adams,Steven Adams,steven-adams,2021,29592695.0
andrew wiggins,Andrew Wiggins,andrew-wiggins,2021,29542010.0
joel embiid,Joel Embiid,joel-embiid,2021,29542010.0
nikola jokic,Nikola Jokic,nikola-jokic,2021,29542010.0
kristaps porzingis,Kristaps Porzingis,kristaps-porzingis,2021,29467800.0
karl anthony towns,Karl-Anthony Towns,karl-anthony-towns,2021,29467800.0
devin booker,Devin Booker,devin-booker,2021,29467800.0
cj mccollum,CJ McCollum,cj-mccollum,2021,29354152.0
andre drummond,Andre Drummond,andre-drummond,2021,28751774.0
bradley beal,Bradley Beal,bradley-beal,2021,28751774.0
dangelo russell,D'Angelo Russell,dangelo-russell,2021,28649250.0
gordon hayward,Gordon Hayward,gordon-hayward,2021,28500000.0
otto porter,Otto Porter,otto-porter,2021,28489239.0
demar derozan,DeMar DeRozan,demar-derozan,2021,27739975.0
giannis antetokounmpo,Giannis Antetokounmpo,giannis-antetokounmpo,2021,27528088.0
rudy gobert,Rudy Gobert,rudy-gobert,2021,27525281.0
al horford,Al Horford,al-horford,2021,27500000.0
jamal murray,Jamal Murray,jamal-murray,2021,27285000.0
brandon ingram,Brandon Ingram,brandon-ingram,2021,27285000.0
jrue holiday,Jrue Holiday,jrue-holiday,2021,27026011.0
nikola vucevic,Nikola Vucevic,nikola-vucevic,2021,26000000.0
jaylen brown,Jaylen Brown,jaylen-brown,2021,25035118.0
buddy hield,Buddy Hield,buddy-hield,2021,24931817.0
draymond green,Draymond Green,draymond-green,2021,22246956.0
harrison barnes,Harrison Barnes,harrison-barnes,2021,22215909.0
fred vanvleet,Fred VanVleet,fred-vanvleet,2021,21250000.0
victor oladipo,Victor Oladipo,victor-oladipo,2021,21000000.0
malcolm brogdon,Malcolm Brogdon,malcolm-brogdon,2021,20700000.0
julius randle,Julius Randle,julius-randle,2021,19845000.0
