player_clean,player_name,player_slug_hh,season,salary_usd
stephen curry,Stephen Curry,stephen-curry,2023,48070014.0
john wall,John Wall,john-wall,2023,47345760.0
russell westbrook,Russell Westbrook,russell-westbrook,2023,47080179.0
lebron james,LeBron James,lebron-james,2023,44474988.0
kevin durant,Kevin Durant,kevin-durant,2023,44119845.0
bradley beal,Bradley Beal,bradley-beal,2023,43279250.0
kawhi leonard,Kawhi Leonard,kawhi-leonard,2023,42492492.0
paul george,Paul George,paul-george,2023,42492492.0
giannis antetokounmpo,Giannis Antetokounmpo,giannis-antetokounmpo,2023,42492492.0
damian lillard,Damian Lillard,damian-lillard,2023,42492492.0
klay thompson,Klay Thompson,klay-thompson,2023,40600080.0
kyrie irving,Kyrie Irving,kyrie-irving,2023,38917057.0
rudy gobert,Rudy Gobert,rudy-gobert,2023,38172414.0
khris middleton,Khris Middleton,khris-middleton,2023,37984276.0
anthony davis,Anthony Davis,anthony-davis,2023,37980720.0
jimmy butler,Jimmy Butler,jimmy-butler,2023,37653300.0
tobias harris,Tobias Harris,tobias-harris,2023,37633050.0
kemba walker,Kemba Walker,kemba-walker,2023,37281261.0
zach lavine,Zach LaVine,zach-lavine,2023,37096500.0
luka doncic,Luka Doncic,luka-doncic,2023,37096500.0
trae young,Trae Young,trae-young,2023,37096500.0
pascal siakam,Pascal Siakam,pascal-siakam,2023,35448672.0
ben simmons,Ben Simmons,ben-simmons,2023,35448672.0
myles turner,Myles Turner,myles-turner,2023,35096500.0
jrue holiday,Jrue Holiday,jrue-holiday,2023,34319520.0
karl anthony towns,Karl-Anthony Towns,karl-anthony-towns,2023,33833400.0
devin booker,Devin Booker,devin-booker,2023,33833400.0
kristaps porzingis,Kristaps Porzingis,kristaps-porzingis,2023,33833400.0
joel embiid,Joel Embiid,joel-embiid,2023,33616770.0
andrew wiggins,Andrew Wiggins,andrew-wiggins,2023,33616770.0
cj mccollum,CJ McCollum,cj-mccollum,2023,33333333.0
nikola jokic,Nikola Jokic,nikola-jokic,2023,33047803.0
james harden,James Harden,james-harden,2023,33000000.0
jamal murray,Jamal Murray,jamal-murray,2023,31650600.0
brandon ingram,Brandon Ingram,brandon-ingram,2023,31650600.0
dangelo russell,D'Angelo Russell,dangelo-russell,2023,31377750.0
shai gilgeous alexander,Shai Gilgeous-Alexander,shai-gilgeous-alexander,2023,30913750.0
deandre ayton,Deandre Ayton,deandre-ayton,2023,30913750.0
donovan mitchell,Donovan Mitchell,donovan-mitchell,2023,30913750.0
michael porter,Michael Porter,michael-porter,2023,30913750.0
kevin love,Kevin Love,kevin-love,2023,30556968.0
jayson tatum,Jayson Tatum,jayson-tatum,2023,30351780.0
bam adebayo,Bam Adebayo,bam-adebayo,2023,30351780.0
deaaron fox,De'Aaron Fox,deaaron-fox,2023,30351780.0
gordon hayward,Gordon Hayward,gordon-hayward,2023,30075000.0
jaylen brown,Jaylen Brown,jaylen-brown,2023,29776785.0
jaren jackson,Jaren Jackson Jr,jaren-jackson-jr,2023,28946605.0
chris paul,Chris Paul,chris-paul,2023,28400000.0
kyle lowry,Kyle Lowry,kyle-lowry,2023,28333334.0
jalen brunson,Jalen Brunson,jalen-brunson,2023,27733332.0
demar derozan,DeMar DeRozan,demar-derozan,2023,27300000.0
al horford,Al Horford,al-horford,2023,26500000.0
draymond green,Draymond Green,draymond-green,2023,25806468.0
julius randle,Julius Randle,julius-randle,2023,23760000.0
john collins,John Collins,john-collins,2023,23500000.0
mike conley,Mike Conley,mike-conley,2023,22680000.0
malcolm brogdon,Malcolm Brogdon,malcolm-brogdon,2023,22600000.0
anfernee simons,Anfernee Simons,anfernee-simons,2023,22321429.0
nikola vucevic,Nikola Vucevic,nikola-vucevic,2023,22000000.0
terry rozier,Terry Rozier,terry-rozier,2023,21486316.0
fred vanvleet,Fred VanVleet,fred-vanvleet,2023,21250000.0
buddy hield,Buddy Hield,buddy-hield,2023,21177750.0
domantas sabonis,Domantas Sabonis,domantas-sabonis,2023,21100000.0
jerami grant,Jerami Grant,jerami-grant,2023,20955000.0
aaron gordon,Aaron Gordon,aaron-gordon,2023,20690909.0
mikal bridges,Mikal Bridges,mikal-bridges,2023,20100000.0
jarrett allen,Jarrett Allen,jarrett-allen,2023,20000000.0
nicolas batum,Nicolas Batum,nicolas-batum,2023,19700319.0
tim hardaway,Tim Hardaway Jr,tim-hardaway-jr,2023,19602273.0
eric gordon,Eric Gordon,eric-gordon,2023,19568360.0
bojan bogdanovic,Bojan Bogdanovic,bojan-bogdanovic,2023,19550000.0
lonzo ball,Lonzo Ball,lonzo-ball,2023,19534884.0
spencer dinwiddie,Spencer Dinwiddie,spencer-dinwiddie,2023,19500000.0
danilo gallinari,Danilo Gallinari,danilo-gallinari,2023,19479000.0
caris levert,Caris LeVert,caris-levert,2023,18796296.0
joe harris,Joe Harris,joe-harris,2023,18642857.0
harrison barnes,Harrison Barnes,harrison-barnes,2023,18352273.0
clint capela,Clint Capela,clint-capela,2023,18206896.0
bogdan bogdanovic,Bogdan Bogdanovic,bogdan-bogdanovic,2023,18000000.0
evan fournier,Evan Fournier,evan-fournier,2023,18000000.0
steven adams,Steven Adams,steven-adams,2023,17926829.0
jonathan isaac,Jonathan Isaac,jonathan-isaac,2023,17400000.0
og anunoby,OG Anunoby,og-anunoby,2023,17357143.0
gary trent,Gary Trent Jr,gary-trent-jr,2023,17280000.0
marcus smart,Marcus Smart,marcus-smart,2023,17207142.0
derrick white,Derrick White,derrick-white,2023,17142857.0
dejounte murray,Dejounte Murray,dejounte-murray,2023,17071120.0
mitchell robinson,Mitchell Robinson,mitchell-robinson,2023,17045454.0
duncan robinson,Duncan Robinson,duncan-robinson,2023,16902000.0
norman powell,Norman Powell,norman-powell,2023,16758621.0
collin sexton,Collin Sexton,collin-sexton,2023,16700000.0
markelle fultz,Markelle Fultz,markelle-fultz,2023,16500000.0
lauri markkanen,Lauri Markkanen,lauri-markkanen,2023,16475454.0
marcus morris,Marcus Morris,marcus-morris,2023,16372093.0
davis bertans,Davis Bertans,davis-bertans,2023,16000000.0
