player_id,player_clean,player_name,season,team_abbr,position,age,gp,mp_total,per,ts_pct,fg3a_rate,ft_rate,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
turnemy01,myles turner,Myles Turner,2022,IND,C,25,42,1235,17.4,0.615,0.466,0.267,5.8,21.3,13.4,5.1,1.1,8.3,10.9,17.1,1.7,1.4,3.1,0.12,0.1,1.4,1.4,1.1
pokusal01,aleksej pokusevski,Aleksej Pokusevski,2022,OKC,PF,20,61,1233,12.0,0.485,0.432,0.11,6.0,20.8,13.3,16.5,1.5,2.9,16.4,20.0,-1.1,1.5,0.4,0.014,-2.7,0.1,-2.6,-0.2
toppiob01,obi toppin,Obi Toppin,2022,NYK,PF,23,72,1230,18.3,0.614,0.357,0.262,5.9,17.7,11.7,10.9,1.0,2.6,9.6,20.8,2.5,1.5,3.9,0.153,1.7,0.3,2.0,1.2
mcderdo01,doug mcdermott,Doug McDermott,2022,SAS,PF,30,51,1223,11.4,0.593,0.551,0.11,1.5,8.4,4.9,7.3,0.5,0.4,8.1,18.3,1.1,0.5,1.6,0.062,-0.4,-2.1,-2.5,-0.1
harteis01,isaiah hartenstein,Isaiah Hartenstein,2022,LAC,C,23,68,1216,22.0,0.664,0.082,0.361,10.5,18.2,14.5,20.5,2.0,5.4,16.5,18.4,3.3,2.2,5.5,0.215,1.4,3.1,4.5,2.0
reidna01,naz reid,Naz Reid,2022,MIN,C,22,77,1215,17.2,0.588,0.349,0.313,8.8,18.0,13.3,8.7,1.6,5.6,13.2,21.4,1.5,1.6,3.2,0.125,-0.5,0.5,0.0,0.6
balllo01,lonzo ball,Lonzo Ball,2022,CHI,PG,24,35,1212,14.5,0.575,0.679,0.073,3.3,14.3,8.8,20.0,2.6,2.2,17.2,17.4,0.8,1.4,2.2,0.088,0.9,1.6,2.5,1.4
wiggiaa01,aaron wiggins,Aaron Wiggins,2022,OKC,SG,23,50,1209,10.3,0.556,0.409,0.252,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7
brogdma01,malcolm brogdon,Malcolm Brogdon,2022,IND,PG,29,36,1206,18.0,0.557,0.343,0.308,3.0,14.3,8.6,26.9,1.2,1.0,11.1,24.6,2.2,0.4,2.7,0.106,2.8,-0.5,2.3,1.3
johnsja01,james johnson,James Johnson,2022,BRK,PF,34,62,1191,10.3,0.513,0.277,0.179,4.8,14.6,9.8,14.5,1.2,2.6,12.7,13.7,0.6,1.1,1.7,0.068,-2.7,0.6,-2.2,-0.1
kuminjo01,jonathan kuminga,Jonathan Kuminga,2022,GSW,SF,19,70,1185,15.2,0.6,0.324,0.413,5.1,16.1,10.8,8.4,1.3,1.8,12.0,22.7,1.3,1.8,3.0,0.123,-1.3,-0.2,-1.5,0.1
nworajo01,jordan nwora,Jordan Nwora,2022,MIL,SF,23,62,1185,9.9,0.506,0.491,0.093,3.4,16.1,9.9,7.0,1.0,1.4,10.6,19.4,-0.4,1.1,0.6,0.025,-2.7,-1.5,-4.1,-0.6
campafa01,facundo campazzo,Facundo Campazzo,2022,DEN,PG,30,65,1184,11.1,0.503,0.652,0.264,2.2,8.6,5.5,24.1,2.6,1.8,16.9,14.7,0.6,1.3,2.0,0.081,-2.1,1.3,-0.8,0.4
miltosh01,shake milton,Shake Milton,2022,PHI,SG,25,55,1179,11.9,0.517,0.33,0.181,2.9,10.4,6.7,17.6,1.2,1.3,9.2,18.3,0.7,1.0,1.7,0.069,-1.6,-0.6,-2.2,-0.1
princta02,taurean prince,Taurean Prince,2022,MIN,PF,27,69,1177,12.4,0.589,0.587,0.21,2.3,13.8,7.9,8.1,1.9,1.9,11.1,17.0,1.0,1.2,2.2,0.09,-1.0,0.0,-0.9,0.3
thomaca02,cam thomas,Cam Thomas,2022,BRK,SG,20,67,1176,11.7,0.519,0.346,0.209,1.5,13.1,7.5,9.7,1.4,0.6,9.1,22.1,0.0,0.8,0.8,0.033,-2.0,-1.4,-3.4,-0.4
ellebcj01,cj elleby,CJ Elleby,2022,POR,SF,21,58,1174,9.2,0.491,0.409,0.273,6.0,15.6,10.6,10.6,1.5,1.6,14.0,14.8,-0.1,0.5,0.4,0.016,-3.8,-1.5,-5.3,-1.0
mcgeeja01,javale mcgee,JaVale McGee,2022,PHO,C,34,74,1172,22.6,0.651,0.02,0.319,15.3,29.7,22.7,5.4,0.9,6.1,15.8,22.8,2.4,2.6,4.9,0.201,-0.1,0.9,0.8,0.8
jacksfr01,frank jackson,Frank Jackson,2022,DET,PG,23,53,1164,10.6,0.53,0.578,0.215,1.7,6.7,4.0,7.6,1.1,0.7,6.7,20.9,0.3,0.4,0.7,0.031,-1.8,-1.7,-3.5,-0.4
whiteha01,hassan whiteside,Hassan Whiteside,2022,UTA,C,32,65,1162,22.9,0.662,0.0,0.506,16.2,29.9,23.3,3.4,0.9,7.8,11.6,17.1,3.4,2.3,5.8,0.238,0.6,1.4,2.1,1.2
baglema01,marvin bagley,Marvin Bagley III,2022,2TM,PF,22,48,1153,15.7,0.551,0.217,0.226,9.7,22.7,16.0,5.2,0.9,1.4,7.4,19.8,1.2,0.9,2.0,0.084,-0.5,-1.8,-2.3,-0.1
jonestr01,tre jones,Tre Jones,2022,SAS,PG,22,69,1148,15.0,0.545,0.15,0.268,2.6,11.6,7.1,27.0,1.8,0.5,10.8,15.6,1.9,0.9,2.9,0.121,-0.9,0.4,-0.5,0.4
carusal01,alex caruso,Alex Caruso,2022,CHI,SG,27,41,1147,11.7,0.528,0.492,0.285,3.3,11.2,7.3,18.5,3.0,1.1,16.5,13.3,0.7,1.2,2.0,0.082,-2.2,2.3,0.2,0.6
bjeline01,nemanja bjelica,Nemanja Bjelica,2022,GSW,C,33,71,1143,14.2,0.573,0.436,0.237,6.1,21.5,14.1,19.8,1.8,2.2,18.7,17.8,1.0,2.1,3.0,0.128,-0.9,2.3,1.4,1.0
smithis01,ish smith,Ish Smith,2022,2TM,PG,33,65,1126,12.5,0.465,0.156,0.056,2.4,11.1,6.8,31.5,2.0,1.8,15.0,20.1,-0.3,0.9,0.5,0.023,-2.2,-0.6,-2.9,-0.2
