player_id,player_clean,player_name,draft_year,draft_round,draft_pick,draft_team,college
bogutan01,andrew bogut,Andrew Bogut,2005,1,1,MIL,Utah
willima02,marvin williams,Marvin Williams,2005,1,2,ATL,UNC
willide01,deron williams,Deron Williams,2005,1,3,UTA,Illinois
paulch01,chris paul,Chris Paul,2005,1,4,NOH,Wake Forest
feltora01,raymond felton,Raymond Felton,2005,1,5,CHA,UNC
webstma02,martell webster,Martell Webster,2005,1,6,POR,
villach01,charlie villanueva,Charlie Villanueva,2005,1,7,TOR,UConn
fryech01,channing frye,Channing Frye,2005,1,8,NYK,Arizona
dioguik01,ike diogu,Ike Diogu,2005,1,9,GSW,Arizona State
bynuman01,andrew bynum,Andrew Bynum,2005,1,10,LAL,
vazqufr01,fran vazquez,Fran Vázquez,2005,1,11,ORL,
korolya01,yaroslav korolev,Yaroslav Korolev,2005,1,12,LAC,
mayse01,sean may,Sean May,2005,1,13,CHA,UNC
mccanra01,rashad mccants,Rashad McCants,2005,1,14,MIN,UNC
wrighan01,antoine wright,Antoine Wright,2005,1,15,NJN,Texas A&M
grahajo01,joey graham,Joey Graham,2005,1,16,TOR,Oklahoma State
grangda01,danny granger,Danny Granger,2005,1,17,IND,New Mexico
greenge01,gerald green,Gerald Green,2005,1,18,BOS,
warriha01,hakim warrick,Hakim Warrick,2005,1,19,MEM,Syracuse
hodgeju01,julius hodge,Julius Hodge,2005,1,20,DEN,NC State
robinna01,nate robinson,Nate Robinson,2005,1,21,PHO,Washington
jackja01,jarrett jack,Jarrett Jack,2005,1,22,DEN,Georgia Tech
garcifr01,francisco garcia,Francisco García,2005,1,23,SAC,Louisville
headlu01,luther head,Luther Head,2005,1,24,HOU,Illinois
petrojo01,johan petro,Johan Petro,2005,1,25,SEA,
maxieja01,jason maxiell,Jason Maxiell,2005,1,26,DET,Cincinnati
kleizli01,linas kleiza,Linas Kleiza,2005,1,27,POR,Missouri
mahinia01,ian mahinmi,Ian Mahinmi,2005,1,28,SAS,
simiewa01,wayne simien,Wayne Simien,2005,1,29,MIA,Kansas
leeda02,david lee,David Lee,2005,1,30,NYK,Florida
stoudsa01,salim stoudamire,Salim Stoudamire,2005,2,31,ATL,Arizona
ewingda01,daniel ewing,Daniel Ewing,2005,2,32,LAC,Duke
bassbr01,brandon bass,Brandon Bass,2005,2,33,NOH,LSU
milescj01,cj miles,C.J. Miles,2005,2,34,UTA,
sanchri01,ricky sanchez,Ricky Sánchez,2005,2,35,POR,
ilyaser01,ersan ilyasova,Ersan İlyasova,2005,2,36,MIL,
turiaro01,ronny turiaf,Ronny Turiaf,2005,2,37,LAL,Gonzaga
dienetr01,travis diener,Travis Diener,2005,2,38,ORL,Marquette
wafervo01,von wafer,Von Wafer,2005,2,39,LAL,Florida State
ellismo01,monta ellis,Monta Ellis,2005,2,40,GSW,
ukicro01,roko ukic,Roko Ukić,2005,2,41,TOR,
taftch01,chris taft,Chris Taft,2005,2,42,GSW,Pitt
ilicmi01,mile ilic,Mile Ilić,2005,2,43,NJN,
andrima01,martynas andriuskevicius,Martynas Andriuškevičius,2005,2,44,ORL,
willilo02,lou williams,Lou Williams,2005,2,45,PHI,
lorbeer01,erazem lorbek,Erazem Lorbek,2005,2,46,IND,
wrighbr02,bracey wright,Bracey Wright,2005,2,47,MIN,Indiana
gelabmi01,mickael gelabale,Mickaël Gelabale,2005,2,48,SEA,
blatcan01,andray blatche,Andray Blatche,2005,2,49,WAS,
gomesry01,ryan gomes,Ryan Gomes,2005,2,50,BOS,Providence
whalero01,robert whaley,Robert Whaley,2005,2,51,UTA,Walsh University
herveax01,axel hervelle,Axel Hervelle,2005,2,52,DEN,
greenor01,orien greene,Orien Greene,2005,2,53,BOS,Louisiana
thompdi01,dijon thompson,Dijon Thompson,2005,2,54,NYK,UCLA
roberla01,lawrence roberts,Lawrence Roberts,2005,2,55,SEA,Mississippi State
johnsam01,amir johnson,Amir Johnson,2005,2,56,DET,
gortama01,marcin gortat,Marcin Gortat,2005,2,57,PHO,
slokaur01,uros slokar,Uroš Slokar,2005,2,58,TOR,
akyolce01,cenk akyol,Cenk Akyol,2005,2,59,ATL,
ackeral01,alex acker,Alex Acker,2005,2,60,DET,Pepperdine
