player_id,player_clean,player_name,draft_year,draft_round,draft_pick,draft_team,college
mingya01,yao ming,Yao Ming,2002,1,1,HOU,
willija03,jay williams,Jay Williams,2002,1,2,CHI,Duke
dunlemi02,mike dunleavy,Mike Dunleavy,2002,1,3,GSW,Duke
goodedr01,drew gooden,Drew Gooden,2002,1,4,MEM,Kansas
tskitni01,nikoloz tskitishvili,Nikoloz Tskitishvili,2002,1,5,DEN,
wagneda02,dajuan wagner,Dajuan Wagner,2002,1,6,CLE,Memphis
hilarne01,nene,Nenê,2002,1,7,NYK,
wilcoch01,chris wilcox,Chris Wilcox,2002,1,8,LAC,Maryland
stoudam01,amare stoudemire,Amar'e Stoudemire,2002,1,9,PHO,
butleca01,caron butler,Caron Butler,2002,1,10,MIA,UConn
jeffrja01,jared jeffries,Jared Jeffries,2002,1,11,WAS,Indiana
elyme01,melvin ely,Melvin Ely,2002,1,12,LAC,Fresno State
haislma01,marcus haislip,Marcus Haislip,2002,1,13,MIL,Tennessee
jonesfr01,fred jones,Fred Jones,2002,1,14,IND,Oregon
nachbbo01,bostjan nachbar,Boštjan Nachbar,2002,1,15,HOU,
welscji01,jiri welsch,Jiří Welsch,2002,1,16,PHI,
dixonju01,juan dixon,Juan Dixon,2002,1,17,WAS,Maryland
borchcu01,curtis borchardt,Curtis Borchardt,2002,1,18,ORL,Stanford
humphry01,ryan humphrey,Ryan Humphrey,2002,1,19,UTA,Notre Dame
rushka01,kareem rush,Kareem Rush,2002,1,20,TOR,Missouri
woodsqy01,qyntel woods,Qyntel Woods,2002,1,21,POR,Northeast Mississippi Community College
jacobca01,casey jacobsen,Casey Jacobsen,2002,1,22,PHO,Stanford
princta01,tayshaun prince,Tayshaun Prince,2002,1,23,DET,Kentucky
krstine01,nenad krstic,Nenad Krstić,2002,1,24,NJN,
willifr02,frank williams,Frank Williams,2002,1,25,DEN,Illinois
salmojo01,john salmons,John Salmons,2002,1,26,SAS,Miami (FL)
jeffech01,chris jefferies,Chris Jefferies,2002,1,27,LAL,Fresno State
dickada01,dan dickau,Dan Dickau,2002,1,28,SAC,Gonzaga
loganst01,steve logan,Steve Logan,2002,1,30,GSW,Cincinnati
masonro01,roger mason,Roger Mason,2002,2,31,CHI,Virginia
archiro01,robert archibald,Robert Archibald,2002,2,32,MEM,Illinois
yarbrvi01,vincent yarbrough,Vincent Yarbrough,2002,2,33,DEN,Tennessee
gadzuda01,dan gadzuric,Dan Gadzuric,2002,2,34,MIL,UCLA
boozeca01,carlos boozer,Carlos Boozer,2002,2,35,CLE,Duke
vujanmi01,milos vujanic,Milos Vujanic,2002,2,36,NYK,
anderda03,david andersen,David Andersen,2002,2,37,ATL,
maddoti01,tito maddox,Tito Maddox,2002,2,38,HOU,Fresno State
grizzro01,rod grizzard,Rod Grizzard,2002,2,39,WAS,Alabama
navarju01,juan carlos navarro,Juan Carlos Navarro,2002,2,40,WAS,
kasunma01,mario kasun,Mario Kasun,2002,2,41,LAC,
murraro01,ronald murray,Ronald Murray,2002,2,42,MIL,Shaw
jennija01,jason jennings,Jason Jennings,2002,2,43,POR,Arkansas State University
baxtelo01,lonny baxter,Lonny Baxter,2002,2,44,CHI,Maryland
clancsa02,sam clancy,Sam Clancy,2002,2,45,PHI,USC
barnema02,matt barnes,Matt Barnes,2002,2,46,MEM,UCLA
sampsja01,jamal sampson,Jamal Sampson,2002,2,47,UTA,California
owensch01,chris owens,Chris Owens,2002,2,48,MIL,Texas
fehsepe01,peter fehse,Peter Fehse,2002,2,49,SEA,
songada01,darius songaila,Darius Songaila,2002,2,50,BOS,Wake Forest
kammefe01,federico kammerichs,Federico Kammerichs,2002,2,51,POR,
tayloma03,marcus taylor,Marcus Taylor,2002,2,52,MIN,Michigan State
butlera01,rasual butler,Rasual Butler,2002,2,53,MIA,La Salle
slayta01,tamar slay,Tamar Slay,2002,2,54,NJN,Marshall
sekulml01,mladen sekularac,Mladen Sekularac,2002,2,55,DAL,
scolalu01,luis scola,Luis Scola,2002,2,56,SAS,
holcora01,randy holcomb,Randy Holcomb,2002,2,57,SAS,San Diego State
edwarco01,corsley edwards,Corsley Edwards,2002,2,58,SAC,Central Connecticut State University
