player_clean,player_name,player_slug_hh,season,salary_usd
lebron james,LeBron James,lebron-james,2017,30963450.0
mike conley,Mike Conley,mike-conley,2017,26540100.0
demar derozan,DeMar DeRozan,demar-derozan,2017,26540100.0
russell westbrook,Russell Westbrook,russell-westbrook,2017,26540100.0
al horford,Al Horford,al-horford,2017,26540100.0
james harden,James Harden,james-harden,2017,26540100.0
kevin durant,Kevin Durant,kevin-durant,2017,26540100.0
dirk nowitzki,Dirk Nowitzki,dirk-nowitzki,2017,25000000.0
carmelo anthony,Carmelo Anthony,carmelo-anthony,2017,24559380.0
damian lillard,Damian Lillard,damian-lillard,2017,24328425.0
chris bosh,Chris Bosh,chris-bosh,2017,23741060.0
dwight howard,Dwight Howard,dwight-howard,2017,23500000.0
dwyane wade,Dwyane Wade,dwyane-wade,2017,23200000.0
chris paul,Chris Paul,chris-paul,2017,22868827.0
hassan whiteside,Hassan Whiteside,hassan-whiteside,2017,22116750.0
bradley beal,Bradley Beal,bradley-beal,2017,22116750.0
anthony davis,Anthony Davis,anthony-davis,2017,22116750.0
chandler parsons,Chandler Parsons,chandler-parsons,2017,22116750.0
andre drummond,Andre Drummond,andre-drummond,2017,22116750.0
harrison barnes,Harrison Barnes,harrison-barnes,2017,22116750.0
derrick rose,Derrick Rose,derrick-rose,2017,21323252.0
brook lopez,Brook Lopez,brook-lopez,2017,21165675.0
kevin love,Kevin Love,kevin-love,2017,21165675.0
deandre jordan,DeAndre Jordan,deandre-jordan,2017,21165675.0
marc gasol,Marc Gasol,marc-gasol,2017,21165675.0
nicolas batum,Nicolas Batum,nicolas-batum,2017,20869566.0
lamarcus aldridge,LaMarcus Aldridge,lamarcus-aldridge,2017,20575005.0
blake griffin,Blake Griffin,blake-griffin,2017,20093064.0
paul millsap,Paul Millsap,paul-millsap,2017,20072033.0
ryan anderson,Ryan Anderson,ryan-anderson,2017,18735364.0
allen crabbe,Allen Crabbe,allen-crabbe,2017,18500000.0
paul george,Paul George,paul-george,2017,18100000.0
luol deng,Luol Deng,luol-deng,2017,18000000.0
kyrie irving,Kyrie Irving,kyrie-irving,2017,17638063.0
kawhi leonard,Kawhi Leonard,kawhi-leonard,2017,17638063.0
jimmy butler,Jimmy Butler,jimmy-butler,2017,17552209.0
tobias harris,Tobias Harris,tobias-harris,2017,17200000.0
wesley matthews,Wesley Matthews,wesley-matthews,2017,17145838.0
greg monroe,Greg Monroe,greg-monroe,2017,17145838.0
enes kanter,Enes Kanter,enes-kanter,2017,17145838.0
joakim noah,Joakim Noah,joakim-noah,2017,17000000.0
evan fournier,Evan Fournier,evan-fournier,2017,17000000.0
bismack biyombo,Bismack Biyombo,bismack-biyombo,2017,17000000.0
klay thompson,Klay Thompson,klay-thompson,2017,16663575.0
evan turner,Evan Turner,evan-turner,2017,16393443.0
gordon hayward,Gordon Hayward,gordon-hayward,2017,16073140.0
timofey mozgov,Timofey Mozgov,timofey-mozgov,2017,16000000.0
ian mahinmi,Ian Mahinmi,ian-mahinmi,2017,16000000.0
goran dragic,Goran Dragic,goran-dragic,2017,15891725.0
john wall,John Wall,john-wall,2017,15756438.0
demarcus cousins,DeMarcus Cousins,demarcus-cousins,2017,15756438.0
kent bazemore,Kent Bazemore,kent-bazemore,2017,15730337.0
pau gasol,Pau Gasol,pau-gasol,2017,15500000.0
tristan thompson,Tristan Thompson,tristan-thompson,2017,15330435.0
draymond green,Draymond Green,draymond-green,2017,15330435.0
khris middleton,Khris Middleton,khris-middleton,2017,15200000.0
danilo gallinari,Danilo Gallinari,danilo-gallinari,2017,15050000.0
jeff green,Jeff Green,jeff-green,2017,15000000.0
reggie jackson,Reggie Jackson,reggie-jackson,2017,14956522.0
deron williams,Deron Williams,deron-williams,2017,14885520.0
tony parker,Tony Parker,tony-parker,2017,14445313.0
jonas valanciunas,Jonas Valanciunas,jonas-valanciunas,2017,14382023.0
demarre carroll,DeMarre Carroll,demarre-carroll,2017,14200000.0
manu ginobili,Manu Ginobili,manu-ginobili,2017,14000000.0
rajon rondo,Rajon Rondo,rajon-rondo,2017,14000000.0
eric bledsoe,Eric Bledsoe,eric-bledsoe,2017,14000000.0
ricky rubio,Ricky Rubio,ricky-rubio,2017,13400000.0
rudy gay,Rudy Gay,rudy-gay,2017,13333333.0
jamal crawford,Jamal Crawford,jamal-crawford,2017,13253012.0
robin lopez,Robin Lopez,robin-lopez,2017,13219250.0
michael kidd gilchrist,Michael Kidd-Gilchrist,michael-kidd-gilchrist,2017,13000000.0
jr smith,JR Smith,jr-smith,2017,12800000.0
brandon knight,Brandon Knight,brandon-knight,2017,12606250.0
jordan clarkson,Jordan Clarkson,jordan-clarkson,2017,12500000.0
arron afflalo,Arron Afflalo,arron-afflalo,2017,12500000.0
tyson chandler,Tyson Chandler,tyson-chandler,2017,12415000.0
miles plumlee,Miles Plumlee,miles-plumlee,2017,12400000.0
eric gordon,Eric Gordon,eric-gordon,2017,12385665.0
john henson,John Henson,john-henson,2017,12267606.0
serge ibaka,Serge Ibaka,serge-ibaka,2017,12250000.0
marvin williams,Marvin Williams,marvin-williams,2017,12250000.0
stephen curry,Stephen Curry,stephen-curry,2017,12112359.0
nikola pekovic,Nikola Pekovic,nikola-pekovic,2017,12100000.0
kenneth faried,Kenneth Faried,kenneth-faried,2017,12078652.0
thaddeus young,Thaddeus Young,thaddeus-young,2017,12078652.0
amir johnson,Amir Johnson,amir-johnson,2017,12000000.0
kemba walker,Kemba Walker,kemba-walker,2017,12000000.0
kyle lowry,Kyle Lowry,kyle-lowry,2017,12000000.0
marcin gortat,Marcin Gortat,marcin-gortat,2017,12000000.0
nikola vucevic,Nikola Vucevic,nikola-vucevic,2017,11750000.0
solomon hill,Solomon Hill,solomon-hill,2017,11709603.0
jeremy lin,Jeremy Lin,jeremy-lin,2017,11483254.0
andrew bogut,Andrew Bogut,andrew-bogut,2017,11410378.0
courtney lee,Courtney Lee,courtney-lee,2017,11242000.0
wilson chandler,Wilson Chandler,wilson-chandler,2017,11233146.0
andre iguodala,Andre Iguodala,andre-iguodala,2017,11131368.0
derrick favors,Derrick Favors,derrick-favors,2017,11050000.0
austin rivers,Austin Rivers,austin-rivers,2017,11000000.0
jrue holiday,Jrue Holiday,jrue-holiday,2017,11000000.0
joe johnson,Joe Johnson,joe-johnson,2017,11000000.0
jon leuer,Jon Leuer,jon-leuer,2017,10991957.0
anderson varejao,Anderson Varejao,anderson-varejao,2017,10851659.0
monta ellis,Monta Ellis,monta-ellis,2017,10763500.0
mirza teletovic,Mirza Teletovic,mirza-teletovic,2017,10500000.0
jared dudley,Jared Dudley,jared-dudley,2017,10470000.0
al jefferson,Al Jefferson,al-jefferson,2017,10230179.0
tyreke evans,Tyreke Evans,tyreke-evans,2017,10203755.0
zach randolph,Zach Randolph,zach-randolph,2017,10000000.0
terrence ross,Terrence Ross,terrence-ross,2017,10000000.0
danny green,Danny Green,danny-green,2017,10000000.0
alec burks,Alec Burks,alec-burks,2017,9904495.0
omer asik,Omer Asik,omer-asik,2017,9904494.0
iman shumpert,Iman Shumpert,iman-shumpert,2017,9662922.0
matthew dellavedova,Matthew Dellavedova,matthew-dellavedova,2017,9607500.0
jerryd bayless,Jerryd Bayless,jerryd-bayless,2017,9424084.0
trevor booker,Trevor Booker,trevor-booker,2017,9250000.0
meyers leonard,Meyers Leonard,meyers-leonard,2017,9213484.0
gerald henderson,Gerald Henderson,gerald-henderson,2017,9000000.0
moe harkless,Moe Harkless,moe-harkless,2017,8988764.0
taj gibson,Taj Gibson,taj-gibson,2017,8950000.0
etwaun moore,E'Twaun Moore,etwaun-moore,2017,8801363.0
kris humphries,Kris Humphries,kris-humphries,2017,8630000.0
ersan ilyasova,Ersan Ilyasova,ersan-ilyasova,2017,8400000.0
dwight powell,Dwight Powell,dwight-powell,2017,8375000.0
avery bradley,Avery Bradley,avery-bradley,2017,8269663.0
tiago splitter,Tiago Splitter,tiago-splitter,2017,8250000.0
darrell arthur,Darrell Arthur,darrell-arthur,2017,8070175.0
kosta koufos,Kosta Koufos,kosta-koufos,2017,8046500.0
tyler zeller,Tyler Zeller,tyler-zeller,2017,8000000.0
anthony tolliver,Anthony Tolliver,anthony-tolliver,2017,8000000.0
george hill,George Hill,george-hill,2017,8000000.0
jeff teague,Jeff Teague,jeff-teague,2017,8000000.0
garrett temple,Garrett Temple,garrett-temple,2017,8000000.0
kevin garnett,Kevin Garnett,kevin-garnett,2017,8000000.0
channing frye,Channing Frye,channing-frye,2017,7806971.0
trevor ariza,Trevor Ariza,trevor-ariza,2017,7800000.0
jose calderon,Jose Calderon,jose-manuel-calderon,2017,7708427.0
al farouq aminu,Al-Farouq Aminu,al-farouq-aminu,2017,7680965.0
cole aldrich,Cole Aldrich,cole-aldrich,2017,7643979.0
corey brewer,Corey Brewer,corey-brewer,2017,7612172.0
festus ezeli,Festus Ezeli,festus-ezeli,2017,7400000.0
markieff morris,Markieff Morris,markieff-morris,2017,7400000.0
jj redick,JJ Redick,jj-redick,2017,7377500.0
cory joseph,Cory Joseph,cory-joseph,2017,7315000.0
dj augustin,DJ Augustin,dj-augustin,2017,7250000.0
jeremy lamb,Jeremy Lamb,jeremy-lamb,2017,7000000.0
rodney stuckey,Rodney Stuckey,rodney-stuckey,2017,7000000.0
boris diaw,Boris Diaw,boris-diaw,2017,7000000.0
louis williams,Louis Williams,louis-williams,2017,7000000.0
sergio rodriguez,Sergio Rodriguez,sergio-rodriguez,2017,6800000.0
carl landry,Carl Landry,carl-landry,2017,6750000.0
ed davis,Ed Davis,ed-davis,2017,6666667.0
isaiah thomas,Isaiah Thomas,isaiah-thomas,2017,6587131.0
victor oladipo,Victor Oladipo,victor-oladipo,2017,6552960.0
jodie meeks,Jodie Meeks,jodie-meeks,2017,6540000.0
matt barnes,Matt Barnes,matt-barnes,2017,6508351.0
aron baynes,Aron Baynes,aron-baynes,2017,6500000.0
marco belinelli,Marco Belinelli,marco-belinelli,2017,6333333.0
jae crowder,Jae Crowder,jae-crowder,2017,6286408.0
lance thomas,Lance Thomas,lance-thomas,2017,6191000.0
tarik black,Tarik Black,tarik-black,2017,6191000.0
andrew nicholson,Andrew Nicholson,andrew-nicholson,2017,6088993.0
patrick patterson,Patrick Patterson,patrick-patterson,2017,6050000.0
andrew wiggins,Andrew Wiggins,andrew-wiggins,2017,6006600.0
ramon sessions,Ramon Sessions,ramon-sessions,2017,6000000.0
ishmael smith,Ishmael Smith,ishmael-smith,2017,6000000.0
patrick beverley,Patrick Beverley,patrick-beverley,2017,6000000.0
wayne ellington,Wayne Ellington,wayne-ellington,2017,6000000.0
alex abrines,Alex Abrines,alex-abrines,2017,5994764.0
karl anthony towns,Karl-Anthony Towns,karl-anthony-towns,2017,5960160.0
ben simmons,Ben Simmons,ben-simmons,2017,5903160.0
otto porter,Otto Porter,otto-porter,2017,5893981.0
nikola mirotic,Nikola Mirotic,nikola-mirotic,2017,5782450.0
shaun livingston,Shaun Livingston,shaun-livingston,2017,5782450.0
josh mcroberts,Josh McRoberts,josh-mcroberts,2017,5782450.0
spencer hawes,Spencer Hawes,spencer-hawes,2017,5782450.0
brandan wright,Brandan Wright,brandan-wright,2017,5709880.0
tim duncan,Tim Duncan,tim-duncan,2017,5643750.0
boban marjanovic,Boban Marjanovic,boban-marjanovic,2017,5628000.0
wesley johnson,Wesley Johnson,wesley-johnson,2017,5628000.0
tyler johnson,Tyler Johnson,tyler-johnson,2017,5628000.0
jared sullinger,Jared Sullinger,jared-sullinger,2017,5628000.0
brandon jennings,Brandon Jennings,brandon-jennings,2017,5587318.0
nick young,Nick Young,nick-young,2017,5443918.0
jabari parker,Jabari Parker,jabari-parker,2017,5374320.0
lance stephenson,Lance Stephenson,lance-stephenson,2017,5371672.0
dangelo russell,D'Angelo Russell,dangelo-russell,2017,5332800.0
josh smith,Josh Smith,josh-smith,2017,5331729.0
cody zeller,Cody Zeller,cody-zeller,2017,5318313.0
pj tucker,PJ Tucker,pj-tucker,2017,5300000.0
brandon ingram,Brandon Ingram,brandon-ingram,2017,5281680.0
kyle korver,Kyle Korver,kyle-korver,2017,5239437.0
darren collison,Darren Collison,darren-collison,2017,5229454.0
larry sanders,Larry Sanders,larry-sanders,2017,5207722.0
langston galloway,Langston Galloway,langston-galloway,2017,5200000.0
derrick williams,Derrick Williams,derrick-williams,2017,5020145.0
jonas jerebko,Jonas Jerebko,jonas-jerebko,2017,5000000.0
luis scola,Luis Scola,luis-scola,2017,5000000.0
roy hibbert,Roy Hibbert,roy-hibbert,2017,5000000.0
tony allen,Tony Allen,tony-allen,2017,5000000.0
cj watson,CJ Watson,cj-watson,2017,5000000.0
jason smith,Jason Smith,jason-smith,2017,5000000.0
alexis ajinca,Alexis Ajinca,alexis-ajinca,2017,4863206.0
mike dunleavy,Mike Dunleavy,mike-dunleavy,2017,4837500.0
kyle singler,Kyle Singler,kyle-singler,2017,4837500.0
joel embiid,Joel Embiid,joel-embiid,2017,4826160.0
alex len,Alex Len,alex-len,2017,4823621.0
jahlil okafor,Jahlil Okafor,jahlil-okafor,2017,4788840.0
jaylen brown,Jaylen Brown,jaylen-brown,2017,4743000.0
marcus morris,Marcus Morris,marcus-morris,2017,4625000.0
cj miles,CJ Miles,cj-miles,2017,4583450.0
jameer nelson,Jameer Nelson,jameer-nelson,2017,4540525.0
nerlens noel,Nerlens Noel,nerlens-noel,2017,4384490.0
aaron gordon,Aaron Gordon,aaron-gordon,2017,4351320.0
greivis vasquez,Greivis Vasquez,greivis-vasquez,2017,4347826.0
kristaps porzingis,Kristaps Porzingis,kristaps-porzingis,2017,4317720.0
dragan bender,Dragan Bender,dragan-bender,2017,4276320.0
