player_id,player_clean,player_name,draft_year,draft_round,draft_pick,draft_team,college
davisan02,anthony davis,Anthony Davis,2012,1,1,NOH,Kentucky
kiddgmi01,michael kidd gilchrist,Michael Kidd-Gilchrist,2012,1,2,CHA,Kentucky
bealbr01,bradley beal,Bradley Beal,2012,1,3,WAS,Florida
waitedi01,dion waiters,Dion Waiters,2012,1,4,CLE,Syracuse
robinth01,thomas robinson,Thomas Robinson,2012,1,5,SAC,Kansas
lillada01,damian lillard,Damian Lillard,2012,1,6,POR,Weber State
barneha02,harrison barnes,Harrison Barnes,2012,1,7,GSW,UNC
rosste01,terrence ross,Terrence Ross,2012,1,8,TOR,Washington
drumman01,andre drummond,Andre Drummond,2012,1,9,DET,UConn
riverau01,austin rivers,Austin Rivers,2012,1,10,NOH,Duke
leoname01,meyers leonard,Meyers Leonard,2012,1,11,POR,Illinois
lambje01,jeremy lamb,Jeremy Lamb,2012,1,12,HOU,UConn
marshke01,kendall marshall,Kendall Marshall,2012,1,13,PHO,UNC
hensojo01,john henson,John Henson,2012,1,14,MIL,UNC
harklma01,maurice harkless,Maurice Harkless,2012,1,15,PHI,St. John's
whitero03,royce white,Royce White,2012,1,16,HOU,Iowa State
zellety01,tyler zeller,Tyler Zeller,2012,1,17,DAL,UNC
joneste01,terrence jones,Terrence Jones,2012,1,18,HOU,Kentucky
nichoan01,andrew nicholson,Andrew Nicholson,2012,1,19,ORL,St. Bonaventure
fournev01,evan fournier,Evan Fournier,2012,1,20,DEN,
sullija01,jared sullinger,Jared Sullinger,2012,1,21,BOS,Ohio State
melofa01,fab melo,Fab Melo,2012,1,22,BOS,Syracuse
jenkijo01,john jenkins,John Jenkins,2012,1,23,ATL,Vanderbilt
cunnija01,jared cunningham,Jared Cunningham,2012,1,24,CLE,Oregon State
wroteto01,tony wroten,Tony Wroten,2012,1,25,MEM,Washington
plumlmi01,miles plumlee,Miles Plumlee,2012,1,26,IND,Duke
moultar01,arnett moultrie,Arnett Moultrie,2012,1,27,MIA,Mississippi State
jonespe01,perry jones,Perry Jones,2012,1,28,OKC,Baylor
teaguma01,marquis teague,Marquis Teague,2012,1,29,CHI,Kentucky
ezelife01,festus ezeli,Festus Ezeli,2012,1,30,GSW,Vanderbilt
tayloje03,jeff taylor,Jeff Taylor,2012,2,31,CHA,Vanderbilt
satorto01,tomas satoransky,Tomáš Satoranský,2012,2,32,WAS,
jamesbe01,bernard james,Bernard James,2012,2,33,CLE,Florida State
crowdja01,jae crowder,Jae Crowder,2012,2,34,CLE,Marquette
greendr01,draymond green,Draymond Green,2012,2,35,GSW,Michigan State
johnsor01,orlando johnson,Orlando Johnson,2012,2,36,SAC,UC Santa Barbara
acyqu01,quincy acy,Quincy Acy,2012,2,37,TOR,Baylor
millequ01,quincy miller,Quincy Miller,2012,2,38,DEN,Baylor
middlkh01,khris middleton,Khris Middleton,2012,2,39,DET,Texas A&M
bartowi01,will barton,Will Barton,2012,2,40,POR,Memphis
tayloty01,tyshawn taylor,Tyshawn Taylor,2012,2,41,POR,Kansas
lambdo01,doron lamb,Doron Lamb,2012,2,42,MIL,Kentucky
scottmi01,mike scott,Mike Scott,2012,2,43,ATL,Virginia
engliki01,kim english,Kim English,2012,2,44,DET,Missouri
hamilju01,justin hamilton,Justin Hamilton,2012,2,45,PHI,LSU
milleda01,darius miller,Darius Miller,2012,2,46,NOH,Kentucky
murphke01,kevin murphy,Kevin Murphy,2012,2,47,UTA,Tennessee Technological University
papanko01,kostas papanikolaou,Kostas Papanikolaou,2012,2,48,NYK,
oquinky01,kyle oquinn,Kyle O'Quinn,2012,2,49,ORL,Norfolk State
turkyiz01,izzet turkyilmaz,İzzet Türkyılmaz,2012,2,50,DEN,
josepkr01,kris joseph,Kris Joseph,2012,2,51,BOS,Syracuse
kuzmiog01,ognjen kuzmic,Ognjen Kuzmić,2012,2,52,GSW,
aldemfu01,furkan aldemir,Furkan Aldemir,2012,2,53,LAC,
shengto01,tornike shengelia,Tornike Shengelia,2012,2,54,PHI,
johnsda03,darius johnson odom,Darius Johnson-Odom,2012,2,55,DAL,Marquette
zubcito01,tomislav zubcic,Tomislav Zubčić,2012,2,56,TOR,
karamil01,ilkan karaman,İlkan Karaman,2012,2,57,NJN,
hummero01,robbie hummel,Robbie Hummel,2012,2,58,MIN,Purdue
denmoma01,marcus denmon,Marcus Denmon,2012,2,59,SAS,Missouri
sacrero01,robert sacre,Robert Sacre,2012,2,60,LAL,Gonzaga
