player_clean,player_name,player_slug_hh,season,salary_usd
joe ingles,Joe Ingles,joe-ingles,2022,13036364.0
kyle kuzma,Kyle Kuzma,kyle-kuzma,2022,13000000.0
robert covington,Robert Covington,robert-covington,2022,12975471.0
tj warren,TJ Warren,tj-warren,2022,12940000.0
deandre ayton,Deandre Ayton,deandre-ayton,2022,12632950.0
terrence ross,Terrence Ross,terrence-ross,2022,12500000.0
jordan clarkson,Jordan Clarkson,jordan-clarkson,2022,12420000.0
dillon brooks,Dillon Brooks,dillon-brooks,2022,12200000.0
kelly olynyk,Kelly Olynyk,kelly-olynyk,2022,12195122.0
nicolas batum,Nicolas Batum,nicolas-batum,2022,12026998.0
kelly oubre,Kelly Oubre,kelly-oubre,2022,12000000.0
jusuf nurkic,Jusuf Nurkic,jusuf-nurkic,2022,12000000.0
josh hart,Josh Hart,josh-hart,2022,12000000.0
josh richardson,Josh Richardson,josh-richardson,2022,11615328.0
marvin bagley,Marvin Bagley,marvin-bagley,2022,11312114.0
deandre jordan,DeAndre Jordan,deandre-jordan,2022,11109327.0
dwight powell,Dwight Powell,dwight-powell,2022,11080125.0
devonte graham,Devonte Graham,devonte-graham,2022,11000000.0
zion williamson,Zion Williamson,zion-williamson,2022,10733400.0
larry nance,Larry Nance Jr,larry-nance-jr,2022,10690909.0
jeremy lamb,Jeremy Lamb,jeremy-lamb,2022,10500000.0
reggie jackson,Reggie Jackson,reggie-jackson,2022,10384500.0
richaun holmes,Richaun Holmes,richaun-holmes,2022,10384500.0
al farouq aminu,Al-Farouq Aminu,al-farouq-aminu,2022,10335621.0
anthony edwards,Anthony Edwards,anthony-edwards,2022,10245480.0
luka doncic,Luka Doncic,luka-doncic,2022,10174391.0
cade cunningham,Cade Cunningham,cade-cunningham,2022,10050120.0
danny green,Danny Green,danny-green,2022,10000000.0
tomas satoransky,Tomas Satoransky,tomas-satoransky,2022,10000000.0
tristan thompson,Tristan Thompson,tristan-thompson,2022,9946611.0
kyle anderson,Kyle Anderson,kyle-anderson,2022,9937150.0
derrick favors,Derrick Favors,derrick-favors,2022,9720900.0
jae crowder,Jae Crowder,jae-crowder,2022,9720900.0
derrick jones,Derrick Jones,derrick-jones,2022,9720900.0
serge ibaka,Serge Ibaka,serge-ibaka,2022,9720900.0
montrezl harrell,Montrezl Harrell,montrezl-harrell,2022,9720900.0
ja morant,Ja Morant,ja-morant,2022,9603360.0
reggie bullock,Reggie Bullock,reggie-bullock,2022,9536000.0
alec burks,Alec Burks,alec-burks,2022,9536000.0
talen horton tucker,Talen Horton-Tucker,talen-horton-tucker,2022,9500000.0
mason plumlee,Mason Plumlee,mason-plumlee,2022,9248333.0
jaren jackson,Jaren Jackson Jr,jaren-jackson-jr,2022,9180560.0
james wiseman,James Wiseman,james-wiseman,2022,9166800.0
jalen green,Jalen Green,jalen-green,2022,8992080.0
deanthony melton,De'Anthony Melton,deanthony-melton,2022,8805976.0
nerlens noel,Nerlens Noel,nerlens-noel,2022,8800000.0
royce oneale,Royce O'Neale,royce-oneale,2022,8800000.0
maxi kleber,Maxi Kleber,maxi-kleber,2022,8750000.0
jakob poeltl,Jakob Poeltl,jakob-poeltl,2022,8750000.0
thomas bryant,Thomas Bryant,thomas-bryant,2022,8666667.0
rj barrett,RJ Barrett,rj-barrett,2022,8623920.0
alex caruso,Alex Caruso,alex-caruso,2022,8600000.0
delon wright,Delon Wright,delon-wright,2022,8526316.0
dario saric,Dario Saric,dario-saric,2022,8510000.0
monte morris,Monte Morris,monte-morris,2022,8449074.0
tyus jones,Tyus Jones,tyus-jones,2022,8376286.0
trae young,Trae Young,trae-young,2022,8326471.0
