player_id,player_clean,player_name,draft_year,draft_round,draft_pick,draft_team,college
aytonde01,deandre ayton,Deandre Ayton,2018,1,1,PHO,Arizona
baglema01,marvin bagley,Marvin Bagley III,2018,1,2,SAC,Duke
doncilu01,luka doncic,Luka Dončić,2018,1,3,ATL,
jacksja02,jaren jackson,Jaren Jackson Jr.,2018,1,4,MEM,Michigan State
youngtr01,trae young,Trae Young,2018,1,5,DAL,Oklahoma
bambamo01,mo bamba,Mo Bamba,2018,1,6,ORL,Texas
cartewe01,wendell carter,Wendell Carter Jr.,2018,1,7,CHI,Duke
sextoco01,collin sexton,Collin Sexton,2018,1,8,CLE,Alabama
knoxke01,kevin knox,Kevin Knox,2018,1,9,NYK,Kentucky
bridgmi01,mikal bridges,Mikal Bridges,2018,1,10,PHI,Villanova
gilgesh01,shai gilgeous alexander,Shai Gilgeous-Alexander,2018,1,11,CHO,Kentucky
bridgmi02,miles bridges,Miles Bridges,2018,1,12,LAC,Michigan State
robinje01,jerome robinson,Jerome Robinson,2018,1,13,LAC,Boston College
portemi01,michael porter,Michael Porter Jr.,2018,1,14,DEN,Missouri
browntr01,troy brown,Troy Brown Jr.,2018,1,15,WAS,Oregon
smithzh01,zhaire smith,Zhaire Smith,2018,1,16,PHO,Texas Tech
divindo01,donte divincenzo,Donte DiVincenzo,2018,1,17,MIL,Villanova
walkelo01,lonnie walker,Lonnie Walker IV,2018,1,18,SAS,Miami (FL)
huertke01,kevin huerter,Kevin Huerter,2018,1,19,ATL,Maryland
okogijo01,josh okogie,Josh Okogie,2018,1,20,MIN,Georgia Tech
allengr01,grayson allen,Grayson Allen,2018,1,21,UTA,Duke
hutchch01,chandler hutchison,Chandler Hutchison,2018,1,22,CHI,Boise State
holidaa01,aaron holiday,Aaron Holiday,2018,1,23,IND,UCLA
simonan01,anfernee simons,Anfernee Simons,2018,1,24,POR,
wagnemo01,moritz wagner,Moritz Wagner,2018,1,25,LAL,Michigan
shamela01,landry shamet,Landry Shamet,2018,1,26,PHI,Wichita State
williro04,robert williams,Robert Williams,2018,1,27,BOS,Texas A&M
evansja02,jacob evans,Jacob Evans,2018,1,28,GSW,Cincinnati
musadz01,dzanan musa,Džanan Musa,2018,1,29,BRK,
spellom01,omari spellman,Omari Spellman,2018,1,30,ATL,Villanova
okoboel01,elie okobo,Elie Okobo,2018,2,31,PHO,
carteje01,jevon carter,Jevon Carter,2018,2,32,MEM,West Virginia
brunsja01,jalen brunson,Jalen Brunson,2018,2,33,DAL,Villanova
grahade01,devonte graham,Devonte' Graham,2018,2,34,ATL,Kansas
frazime01,melvin frazier,Melvin Frazier,2018,2,35,ORL,Tulane
robinmi01,mitchell robinson,Mitchell Robinson,2018,2,36,NYK,
trentga02,gary trent,Gary Trent Jr.,2018,2,37,SAC,Duke
thomakh01,khyri thomas,Khyri Thomas,2018,2,38,PHI,Creighton
bongais01,isaac bonga,Isaac Bonga,2018,2,39,PHI,
kurucro01,rodions kurucs,Rodions Kurucs,2018,2,40,BRK,
vandeja01,jarred vanderbilt,Jarred Vanderbilt,2018,2,41,ORL,Kentucky
brownbr01,bruce brown,Bruce Brown,2018,2,42,DET,Miami (FL)
jacksju02,justin jackson,Justin Jackson,2018,2,43,DEN,Maryland
sanonis01,issuf sanon,Issuf Sanon,2018,2,44,WAS,
diallha01,hamidou diallo,Hamidou Diallo,2018,2,45,BRK,Kentucky
meltode01,deanthony melton,De'Anthony Melton,2018,2,46,HOU,USC
mykhasv01,svi mykhailiuk,Svi Mykhailiuk,2018,2,47,LAL,Kansas
bateske01,keita bates diop,Keita Bates-Diop,2018,2,48,MIN,Ohio State
metuch01,chimezie metu,Chimezie Metu,2018,2,49,SAS,USC
johnsal02,alize johnson,Alize Johnson,2018,2,50,IND,Missouri State
carrto01,tony carr,Tony Carr,2018,2,51,NOP,Penn State
edwarvi01,vince edwards,Vince Edwards,2018,2,52,UTA,Purdue
hallde01,devon hall,Devon Hall,2018,2,53,OKC,Virginia
miltosh01,shake milton,Shake Milton,2018,2,54,DAL,SMU
kulboar01,arnoldas kulboka,Arnoldas Kulboka,2018,2,55,CHO,
spaldra01,ray spalding,Ray Spalding,2018,2,56,PHI,Louisville
herveke01,kevin hervey,Kevin Hervey,2018,2,57,OKC,UT Arlington
welshth01,thomas welsh,Thomas Welsh,2018,2,58,DEN,UCLA
kingge03,george king,George King,2018,2,59,PHO,Colorado
antetko01,kostas antetokounmpo,Kostas Antetokounmpo,2018,2,60,PHI,Dayton
