player_clean,player_name,player_slug_hh,season,salary_usd
stephen curry,Stephen Curry,stephen-curry,2019,37457154.0
russell westbrook,Russell Westbrook,russell-westbrook,2019,35665000.0
chris paul,Chris Paul,chris-paul,2019,35654150.0
lebron james,LeBron James,lebron-james,2019,35654150.0
kyle lowry,Kyle Lowry,kyle-lowry,2019,32700000.0
blake griffin,Blake Griffin,blake-griffin,2019,31873932.0
gordon hayward,Gordon Hayward,gordon-hayward,2019,31214295.0
james harden,James Harden,james-harden,2019,30570000.0
paul george,Paul George,paul-george,2019,30560700.0
mike conley,Mike Conley,mike-conley,2019,30521115.0
kevin durant,Kevin Durant,kevin-durant,2019,30000000.0
paul millsap,Paul Millsap,paul-millsap,2019,29230769.0
al horford,Al Horford,al-horford,2019,28928710.0
damian lillard,Damian Lillard,damian-lillard,2019,27977689.0
demar derozan,DeMar DeRozan,demar-derozan,2019,27739975.0
chris bosh,Chris Bosh,chris-bosh,2019,26837720.0
jrue holiday,Jrue Holiday,jrue-holiday,2019,26641111.0
otto porter,Otto Porter,otto-porter,2019,26011913.0
cj mccollum,CJ McCollum,cj-mccollum,2019,25759766.0
nikola jokic,Nikola Jokic,nikola-jokic,2019,25467250.0
andrew wiggins,Andrew Wiggins,andrew-wiggins,2019,25467250.0
joel embiid,Joel Embiid,joel-embiid,2019,25467250.0
anthony davis,Anthony Davis,anthony-davis,2019,25434263.0
andre drummond,Andre Drummond,andre-drummond,2019,25434262.0
bradley beal,Bradley Beal,bradley-beal,2019,25434262.0
hassan whiteside,Hassan Whiteside,hassan-whiteside,2019,24434262.0
dwight howard,Dwight Howard,dwight-howard,2019,24256725.0
giannis antetokounmpo,Giannis Antetokounmpo,giannis-antetokounmpo,2019,24157304.0
steven adams,Steven Adams,steven-adams,2019,24157304.0
marc gasol,Marc Gasol,marc-gasol,2019,24119025.0
kevin love,Kevin Love,kevin-love,2019,24119025.0
chandler parsons,Chandler Parsons,chandler-parsons,2019,24107258.0
harrison barnes,Harrison Barnes,harrison-barnes,2019,24107258.0
nicolas batum,Nicolas Batum,nicolas-batum,2019,24000000.0
rudy gobert,Rudy Gobert,rudy-gobert,2019,23491573.0
