player_clean,player_name,player_slug_hh,season,salary_usd
stephen curry,Stephen Curry,stephen-curry,2024,51915615.0
kevin durant,Kevin Durant,kevin-durant,2024,47649433.0
nikola jokic,Nikola Jokic,nikola-jokic,2024,47607350.0
joel embiid,Joel Embiid,joel-embiid,2024,47607350.0
lebron james,LeBron James,lebron-james,2024,47607350.0
bradley beal,Bradley Beal,bradley-beal,2024,46741590.0
paul george,Paul George,paul-george,2024,45640084.0
kawhi leonard,Kawhi Leonard,kawhi-leonard,2024,45640084.0
giannis antetokounmpo,Giannis Antetokounmpo,giannis-antetokounmpo,2024,45640084.0
damian lillard,Damian Lillard,damian-lillard,2024,45640084.0
jimmy butler,Jimmy Butler,jimmy-butler,2024,45183960.0
klay thompson,Klay Thompson,klay-thompson,2024,43219440.0
rudy gobert,Rudy Gobert,rudy-gobert,2024,41000000.0
fred vanvleet,Fred VanVleet,fred-vanvleet,2024,40806300.0
anthony davis,Anthony Davis,anthony-davis,2024,40600080.0
trae young,Trae Young,trae-young,2024,40064220.0
zach lavine,Zach LaVine,zach-lavine,2024,40064220.0
luka doncic,Luka Doncic,luka-doncic,2024,40064220.0
tobias harris,Tobias Harris,tobias-harris,2024,39270150.0
kyrie irving,Kyrie Irving,kyrie-irving,2024,38037037.0
pascal siakam,Pascal Siakam,pascal-siakam,2024,37893408.0
ben simmons,Ben Simmons,ben-simmons,2024,37893408.0
jrue holiday,Jrue Holiday,jrue-holiday,2024,37620347.0
kristaps porzingis,Kristaps Porzingis,kristaps-porzingis,2024,36016200.0
karl anthony towns,Karl-Anthony Towns,karl-anthony-towns,2024,36016200.0
devin booker,Devin Booker,devin-booker,2024,36016200.0
cj mccollum,CJ McCollum,cj-mccollum,2024,35802469.0
james harden,James Harden,james-harden,2024,35680595.0
darius garland,Darius Garland,darius-garland,2024,34005250.0
ja morant,Ja Morant,ja-morant,2024,34005250.0
zion williamson,Zion Williamson,zion-williamson,2024,34005250.0
jamal murray,Jamal Murray,jamal-murray,2024,33833400.0
brandon ingram,Brandon Ingram,brandon-ingram,2024,33833400.0
michael porter,Michael Porter,michael-porter,2024,33386850.0
shai gilgeous alexander,Shai Gilgeous-Alexander,shai-gilgeous-alexander,2024,33386850.0
gordon hayward,Gordon Hayward,gordon-hayward,2024,33319397.0
donovan mitchell,Donovan Mitchell,donovan-mitchell,2024,33162030.0
deaaron fox,De'Aaron Fox,deaaron-fox,2024,32600060.0
bam adebayo,Bam Adebayo,bam-adebayo,2024,32600060.0
jayson tatum,Jayson Tatum,jayson-tatum,2024,32600060.0
deandre ayton,Deandre Ayton,deandre-ayton,2024,32459438.0
jaylen brown,Jaylen Brown,jaylen-brown,2024,31830357.0
chris paul,Chris Paul,chris-paul,2024,30800000.0
kyle lowry,Kyle Lowry,kyle-lowry,2024,29682540.0
khris middleton,Khris Middleton,khris-middleton,2024,29320988.0
domantas sabonis,Domantas Sabonis,domantas-sabonis,2024,29300000.0
demar derozan,DeMar DeRozan,demar-derozan,2024,28600000.0
jordan poole,Jordan Poole,jordan-poole,2024,27955357.0
jerami grant,Jerami Grant,jerami-grant,2024,27586207.0
jaren jackson,Jaren Jackson Jr,jaren-jackson-jr,2024,27102202.0
tyler herro,Tyler Herro,tyler-herro,2024,27000000.0
julius randle,Julius Randle,julius-randle,2024,26943840.0
jalen brunson,Jalen Brunson,jalen-brunson,2024,26346666.0
cameron johnson,Cameron Johnson,cameron-johnson,2024,25679348.0
kyle kuzma,Kyle Kuzma,kyle-kuzma,2024,25568182.0
john collins,John Collins,john-collins,2024,25340000.0
brook lopez,Brook Lopez,brook-lopez,2024,25000000.0
mike conley,Mike Conley,mike-conley,2024,24360000.0
andrew wiggins,Andrew Wiggins,andrew-wiggins,2024,24330357.0
anfernee simons,Anfernee Simons,anfernee-simons,2024,24107143.0
rj barrett,RJ Barrett,rj-barrett,2024,23883929.0
jordan clarkson,Jordan Clarkson,jordan-clarkson,2024,23487629.0
terry rozier,Terry Rozier,terry-rozier,2024,23205221.0
dillon brooks,Dillon Brooks,dillon-brooks,2024,22627671.0
malcolm brogdon,Malcolm Brogdon,malcolm-brogdon,2024,22500000.0
draymond green,Draymond Green,draymond-green,2024,22321429.0
bruce brown,Bruce Brown,bruce-brown,2024,22000000.0
mikal bridges,Mikal Bridges,mikal-bridges,2024,21700000.0
aaron gordon,Aaron Gordon,aaron-gordon,2024,21266182.0
myles turner,Myles Turner,myles-turner,2024,20975000.0
clint capela,Clint Capela,clint-capela,2024,20616000.0
lonzo ball,Lonzo Ball,lonzo-ball,2024,20465117.0
spencer dinwiddie,Spencer Dinwiddie,spencer-dinwiddie,2024,20411797.0
deandre hunter,De'Andre Hunter,deandre-hunter,2024,20089286.0
bojan bogdanovic,Bojan Bogdanovic,bojan-bogdanovic,2024,20000000.0
keldon johnson,Keldon Johnson,keldon-johnson,2024,20000000.0
jarrett allen,Jarrett Allen,jarrett-allen,2024,20000000.0
joe harris,Joe Harris,joe-harris,2024,19928571.0
jakob poeltl,Jakob Poeltl,jakob-poeltl,2024,19500000.0
buddy hield,Buddy Hield,buddy-hield,2024,19321859.0
derrick white,Derrick White,derrick-white,2024,18857143.0
evan fournier,Evan Fournier,evan-fournier,2024,18857143.0
bogdan bogdanovic,Bogdan Bogdanovic,bogdan-bogdanovic,2024,18700000.0
og anunoby,OG Anunoby,og-anunoby,2024,18642857.0
marcus smart,Marcus Smart,marcus-smart,2024,18583713.0
gary trent,Gary Trent Jr,gary-trent-jr,2024,18560000.0
nikola vucevic,Nikola Vucevic,nikola-vucevic,2024,18518519.0
dejounte murray,Dejounte Murray,dejounte-murray,2024,18214000.0
duncan robinson,Duncan Robinson,duncan-robinson,2024,18154000.0
norman powell,Norman Powell,norman-powell,2024,18000000.0
tim hardaway,Tim Hardaway Jr,tim-hardaway-jr,2024,17897728.0
marcus morris,Marcus Morris,marcus-morris,2024,17612280.0
collin sexton,Collin Sexton,collin-sexton,2024,17525000.0
jonathan isaac,Jonathan Isaac,jonathan-isaac,2024,17400000.0
dangelo russell,D'Angelo Russell,dangelo-russell,2024,17307693.0
lauri markkanen,Lauri Markkanen,lauri-markkanen,2024,17259999.0
davis bertans,Davis Bertans,davis-bertans,2024,17000000.0
markelle fultz,Markelle Fultz,markelle-fultz,2024,17000000.0
harrison barnes,Harrison Barnes,harrison-barnes,2024,17000000.0
jusuf nurkic,Jusuf Nurkic,jusuf-nurkic,2024,16875000.0
pj washington,PJ Washington,pj-washington,2024,16847826.0
kevin porter,Kevin Porter,kevin-porter,2024,15860000.0
rui hachimura,Rui Hachimura,rui-hachimura,2024,15740741.0
mitchell robinson,Mitchell Robinson,mitchell-robinson,2024,15681818.0
kevin huerter,Kevin Huerter,kevin-huerter,2024,15669643.0
jonas valanciunas,Jonas Valanciunas,jonas-valanciunas,2024,15435000.0
caris levert,Caris LeVert,caris-levert,2024,15384616.0
luguentz dort,Luguentz Dort,luguentz-dort,2024,15277778.0
luke kennard,Luke Kennard,luke-kennard,2024,14763636.0
kentavious caldwell pope,Kentavious Caldwell-Pope,kentavious-caldwell-pope,2024,14704938.0
max strus,Max Strus,max-strus,2024,14487684.0
reggie bullock,Reggie Bullock,reggie-bullock,2024,14210528.0
doug mcdermott,Doug McDermott,doug-mcdermott,2024,14000000.0
tyus jones,Tyus Jones,tyus-jones,2024,14000000.0
dorian finney smith,Dorian Finney-Smith,dorian-finney-smith,2024,13932008.0
anthony edwards,Anthony Edwards,anthony-edwards,2024,13534817.0
wendell carter,Wendell Carter,wendell-carter,2024,13050000.0
gary harris,Gary Harris,gary-harris,2024,13000000.0
josh hart,Josh Hart,josh-hart,2024,12960000.0
naz reid,Naz Reid,naz-reid,2024,12950400.0
steven adams,Steven Adams,steven-adams,2024,12600000.0
brandon clarke,Brandon Clarke,brandon-clarke,2024,12500000.0
marvin bagley,Marvin Bagley,marvin-bagley,2024,12500000.0
dennis schroeder,Dennis Schroeder,dennis-schroeder,2024,12405000.0
grant williams,Grant Williams,grant-williams,2024,12405000.0
daniel gafford,Daniel Gafford,daniel-gafford,2024,12402000.0
kelly olynyk,Kelly Olynyk,kelly-olynyk,2024,12195122.0
victor wembanyama,Victor Wembanyama,victor-wembanyama,2024,12160632.0
james wiseman,James Wiseman,james-wiseman,2024,12119440.0
devonte graham,Devonte Graham,devonte-graham,2024,12100000.0
richaun holmes,Richaun Holmes,richaun-holmes,2024,12046020.0
austin reaves,Austin Reaves,austin-reaves,2024,12015150.0
herb jones,Herb Jones,herb-jones,2024,12015150.0
chris boucher,Chris Boucher,chris-boucher,2024,11750000.0
