player_id,player_clean,player_name,draft_year,draft_round,draft_pick,draft_team,college
bargnan01,andrea bargnani,Andrea Bargnani,2006,1,1,TOR,
aldrila01,lamarcus aldridge,LaMarcus Aldridge,2006,1,2,CHI,Texas
morriad01,adam morrison,Adam Morrison,2006,1,3,CHA,Gonzaga
thomaty01,tyrus thomas,Tyrus Thomas,2006,1,4,POR,LSU
willish02,shelden williams,Shelden Williams,2006,1,5,ATL,Duke
roybr01,brandon roy,Brandon Roy,2006,1,6,MIN,Washington
foyera01,randy foye,Randy Foye,2006,1,7,BOS,Villanova
gayru01,rudy gay,Rudy Gay,2006,1,8,HOU,UConn
obryapa01,patrick obryant,Patrick O'Bryant,2006,1,9,GSW,Bradley
senesa01,mouhamed sene,Mouhamed Sene,2006,1,10,SEA,
redicjj01,jj redick,JJ Redick,2006,1,11,ORL,Duke
armsthi01,hilton armstrong,Hilton Armstrong,2006,1,12,NOK,UConn
sefolth01,thabo sefolosha,Thabo Sefolosha,2006,1,13,PHI,
brewero02,ronnie brewer,Ronnie Brewer,2006,1,14,UTA,Arkansas
simmoce01,cedric simmons,Cedric Simmons,2006,1,15,NOK,NC State
carnero01,rodney carney,Rodney Carney,2006,1,16,CHI,Memphis
willish03,shawne williams,Shawne Williams,2006,1,17,IND,Memphis
pecheol01,oleksiy pecherov,Oleksiy Pecherov,2006,1,18,WAS,
doubyqu01,quincy douby,Quincy Douby,2006,1,19,SAC,Rutgers University
balkmre01,renaldo balkman,Renaldo Balkman,2006,1,20,NYK,South Carolina
rondora01,rajon rondo,Rajon Rondo,2006,1,21,PHO,Kentucky
willima03,marcus williams,Marcus Williams,2006,1,22,NJN,UConn
boonejo01,josh boone,Josh Boone,2006,1,23,NJN,UConn
lowryky01,kyle lowry,Kyle Lowry,2006,1,24,MEM,Villanova
brownsh01,shannon brown,Shannon Brown,2006,1,25,CLE,Michigan State
farmajo01,jordan farmar,Jordan Farmar,2006,1,26,LAL,UCLA
rodrise01,sergio rodriguez,Sergio Rodríguez,2006,1,27,PHO,
agerma01,maurice ager,Maurice Ager,2006,1,28,DAL,Michigan State
collima01,mardy collins,Mardy Collins,2006,1,29,NYK,Temple
freeljo01,joel freeland,Joel Freeland,2006,1,30,POR,
whiteja02,james white,James White,2006,2,31,POR,Cincinnati
novakst01,steve novak,Steve Novak,2006,2,32,HOU,Marquette
jonesso01,solomon jones,Solomon Jones,2006,2,33,ATL,South Florida
davispa01,paul davis,Paul Davis,2006,2,34,LAC,Michigan State
tuckepj01,pj tucker,P.J. Tucker,2006,2,35,TOR,Texas
smithcr01,craig smith,Craig Smith,2006,2,36,MIN,Boston College
jonesbo02,bobby jones,Bobby Jones,2006,2,37,MIN,Washington
perovko01,kosta perovic,Kosta Perović,2006,2,38,GSW,
noelda01,david noel,David Noel,2006,2,39,MIL,UNC
brownde05,denham brown,Denham Brown,2006,2,40,SEA,UConn
augusja01,james augustine,James Augustine,2006,2,41,ORL,Illinois
gibsoda01,daniel gibson,Daniel Gibson,2006,2,42,CLE,Texas
vincima01,marcus vinicius,Marcus Vinicius,2006,2,43,NOK,
eliyali01,lior eliyahu,Lior Eliyahu,2006,2,44,ORL,
johnsal01,alexander johnson,Alexander Johnson,2006,2,45,IND,Florida State
brownde03,dee brown,Dee Brown,2006,2,46,UTA,Illinois
millspa01,paul millsap,Paul Millsap,2006,2,47,UTA,Louisiana Tech
veremvl01,vladimir veremeenko,Vladimir Veremeenko,2006,2,48,WAS,
powele01,leon powe,Leon Powe,2006,2,49,DEN,California
holliry01,ryan hollins,Ryan Hollins,2006,2,50,CHA,UCLA
sambch01,cheikh samb,Cheikh Samb,2006,2,51,LAL,
diazgu01,guillermo diaz,Guillermo Díaz,2006,2,52,LAC,Miami (FL)
halpeyo01,yotam halperin,Yotam Halperin,2006,2,53,SEA,
adamsha01,hassan adams,Hassan Adams,2006,2,54,NJN,Arizona
ugboaej01,ejike ugboaja,Ejike Ugboaja,2006,2,55,CLE,
bavcied01,edin bavcic,Edin Bavčić,2006,2,56,TOR,
mavrolo01,loukas mavrokefalidis,Loukas Mavrokefalidis,2006,2,57,MIN,
pinnojr01,jr pinnock,J.R. Pinnock,2006,2,58,DAL,George Washington
markoda01,damir markota,Damir Markota,2006,2,59,SAS,
blalowi01,will blalock,Will Blalock,2006,2,60,DET,Iowa State
