player_id,player_clean,player_name,season,allstar,allstar_team
lillada01,damian lillard,Damian Lillard,2024,1,East
halibty01,tyrese haliburton,Tyrese Haliburton,2024,1,East
antetgi01,giannis antetokounmpo,Giannis Antetokounmpo,2024,1,East
tatumja01,jayson tatum,Jayson Tatum,2024,1,East
adebaba01,bam adebayo,Bam Adebayo,2024,1,East
brownja02,jaylen brown,Jaylen Brown,2024,1,East
banchpa01,paolo banchero,Paolo Banchero,2024,1,East
barnesc01,scottie barnes,Scottie Barnes,2024,1,East
brunsja01,jalen brunson,Jalen Brunson,2024,1,East
maxeyty01,tyrese maxey,Tyrese Maxey,2024,1,East
mitchdo01,donovan mitchell,Donovan Mitchell,2024,1,East
youngtr01,trae young,Trae Young,2024,1,East
gilgesh01,shai gilgeous alexander,Shai Gilgeous-Alexander,2024,1,West
duranke01,kevin durant,Kevin Durant,2024,1,West
jokicni01,nikola jokic,Nikola Jokić,2024,1,West
doncilu01,luka doncic,Luka Dončić,2024,1,West
jamesle01,lebron james,LeBron James,2024,1,West
townska01,karl anthony towns,Karl-Anthony Towns,2024,1,West
curryst01,stephen curry,Stephen Curry,2024,1,West
davisan02,anthony davis,Anthony Davis,2024,1,West
bookede01,devin booker,Devin Booker,2024,1,West
edwaran01,anthony edwards,Anthony Edwards,2024,1,West
leonaka01,kawhi leonard,Kawhi Leonard,2024,1,West
georgpa01,paul george,Paul George,2024,1,West
