player_id,player_clean,player_name,draft_year,draft_round,draft_pick,draft_team,college
wiggian01,andrew wiggins,Andrew Wiggins,2014,1,1,CLE,Kansas
parkeja01,jabari parker,Jabari Parker,2014,1,2,MIL,Duke
embiijo01,joel embiid,Joel Embiid,2014,1,3,PHI,Kansas
gordoaa01,aaron gordon,Aaron Gordon,2014,1,4,ORL,Arizona
exumda01,dante exum,Danté Exum,2014,1,5,UTA,
smartma01,marcus smart,Marcus Smart,2014,1,6,BOS,Oklahoma State
randlju01,julius randle,Julius Randle,2014,1,7,LAL,Kentucky
stausni01,nik stauskas,Nik Stauskas,2014,1,8,SAC,Michigan
vonleno01,noah vonleh,Noah Vonleh,2014,1,9,CHO,Indiana
paytoel01,elfrid payton,Elfrid Payton,2014,1,10,PHI,Louisiana
mcderdo01,doug mcdermott,Doug McDermott,2014,1,11,DEN,Creighton
saricda01,dario saric,Dario Šarić,2014,1,12,ORL,
lavinza01,zach lavine,Zach LaVine,2014,1,13,MIN,UCLA
warretj01,tj warren,T.J. Warren,2014,1,14,PHO,NC State
paynead01,adreian payne,Adreian Payne,2014,1,15,ATL,Michigan State
nurkiju01,jusuf nurkic,Jusuf Nurkić,2014,1,16,CHI,
youngja01,james young,James Young,2014,1,17,BOS,Kentucky
ennisty01,tyler ennis,Tyler Ennis,2014,1,18,PHO,Syracuse
harriga01,gary harris,Gary Harris,2014,1,19,CHI,Michigan State
cabocbr01,bruno caboclo,Bruno Caboclo,2014,1,20,TOR,
mcgarmi01,mitch mcgary,Mitch McGary,2014,1,21,OKC,Michigan
adamsjo01,jordan adams,Jordan Adams,2014,1,22,MEM,UCLA
hoodro01,rodney hood,Rodney Hood,2014,1,23,UTA,Duke
napiesh01,shabazz napier,Shabazz Napier,2014,1,24,CHO,UConn
capelca01,clint capela,Clint Capela,2014,1,25,HOU,
hairspj02,pj hairston,P.J. Hairston,2014,1,26,MIA,UNC
bogdabo01,bogdan bogdanovic,Bogdan Bogdanović,2014,1,27,PHO,
wilcocj01,cj wilcox,C.J. Wilcox,2014,1,28,LAC,Washington
huestjo01,josh huestis,Josh Huestis,2014,1,29,OKC,Stanford
anderky01,kyle anderson,Kyle Anderson,2014,1,30,SAS,UCLA
inglida01,damien inglis,Damien Inglis,2014,2,31,MIL,
mcdankj01,kj mcdaniels,K.J. McDaniels,2014,2,32,PHI,Clemson
harrijo01,joe harris,Joe Harris,2014,2,33,CLE,Virginia
earlycl01,cleanthony early,Cleanthony Early,2014,2,34,NYK,Wichita State
stokeja01,jarnell stokes,Jarnell Stokes,2014,2,35,UTA,Tennessee
obryajo01,johnny obryant,Johnny O'Bryant,2014,2,36,MIL,LSU
daniede01,deandre daniels,DeAndre Daniels,2014,2,37,TOR,UConn
dinwisp01,spencer dinwiddie,Spencer Dinwiddie,2014,2,38,DET,Colorado
grantje01,jerami grant,Jerami Grant,2014,2,39,PHI,Syracuse
robingl02,glenn robinson,Glenn Robinson III,2014,2,40,MIN,Michigan
jokicni01,nikola jokic,Nikola Jokić,2014,2,41,DEN,
johnsni01,nick johnson,Nick Johnson,2014,2,42,HOU,Arizona
tavarwa01,edy tavares,Edy Tavares,2014,2,43,ATL,
brownma02,markel brown,Markel Brown,2014,2,44,MIN,Oklahoma State
poweldw01,dwight powell,Dwight Powell,2014,2,45,CHO,Stanford
clarkjo01,jordan clarkson,Jordan Clarkson,2014,2,46,WAS,Missouri
smithru01,russ smith,Russ Smith,2014,2,47,PHI,Louisville
pattela01,lamar patterson,Lamar Patterson,2014,2,48,MIL,Pitt
bairsca01,cameron bairstow,Cameron Bairstow,2014,2,49,CHI,New Mexico
brownal01,alec brown,Alec Brown,2014,2,50,PHO,Green Bay
antetth01,thanasis antetokounmpo,Thanasis Antetokounmpo,2014,2,51,NYK,
micicva01,vasilije micic,Vasilije Micić,2014,2,52,PHI,
gential01,alessandro gentile,Alessandro Gentile,2014,2,53,MIN,
dangune01,nemanja dangubic,Nemanja Dangubić,2014,2,54,PHI,
chrisse01,semaj christon,Semaj Christon,2014,2,55,MIA,Xavier
marblde01,devyn marble,Devyn Marble,2014,2,56,DEN,Iowa
labeylo01,louis labeyrie,Louis Labeyrie,2014,2,57,IND,
mcraejo01,jordan mcrae,Jordan McRae,2014,2,58,SAS,Tennessee
thamexa01,xavier thames,Xavier Thames,2014,2,59,TOR,San Diego State
jeffeco01,cory jefferson,Cory Jefferson,2014,2,60,SAS,Baylor
