player_id,player_clean,player_name,season,team_abbr,position,age,gp,gs,mpg,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,rpg,apg,spg,bpg,tov,pf,ppg
wiggian01,andrew wiggins,Andrew Wiggins,2020,2TM,SF,24,54,54,34.4,8.1,18.1,0.447,2.1,6.2,0.332,6.0,11.9,0.506,0.504,3.5,5.0,0.709,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8
collijo01,john collins,John Collins,2020,ATL,PF,22,41,41,33.2,8.6,14.8,0.583,1.4,3.6,0.401,7.2,11.2,0.642,0.632,2.9,3.7,0.8,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6
georgpa01,paul george,Paul George,2020,LAC,SF,29,48,48,29.6,7.1,16.3,0.439,3.3,7.9,0.412,3.9,8.4,0.464,0.539,4.0,4.5,0.876,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5
foxde01,deaaron fox,De'Aaron Fox,2020,SAC,PG,22,51,49,32.0,7.7,16.0,0.48,1.1,3.6,0.292,6.6,12.4,0.535,0.513,4.7,6.7,0.705,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1
middlkh01,khris middleton,Khris Middleton,2020,MIL,SF,28,62,59,29.9,7.6,15.3,0.497,2.4,5.7,0.415,5.2,9.6,0.546,0.575,3.4,3.7,0.916,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9
sextoco01,collin sexton,Collin Sexton,2020,CLE,PG,21,65,65,33.0,7.9,16.7,0.472,1.5,3.9,0.38,6.4,12.8,0.501,0.517,3.5,4.1,0.846,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8
dinwisp01,spencer dinwiddie,Spencer Dinwiddie,2020,BRK,PG,26,64,49,31.2,6.6,16.0,0.415,1.9,6.3,0.308,4.7,9.7,0.485,0.476,5.4,7.0,0.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6
porzikr01,kristaps porzingis,Kristaps Porziņģis,2020,DAL,C,24,57,57,31.8,7.0,16.4,0.427,2.5,7.1,0.352,4.5,9.3,0.484,0.503,4.0,5.0,0.799,1.8,7.7,9.5,1.8,0.7,2.0,1.6,3.2,20.4
walkeke02,kemba walker,Kemba Walker,2020,BOS,PG,29,56,56,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.476,0.526,3.7,4.3,0.864,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4
brownja02,jaylen brown,Jaylen Brown,2020,BOS,SG,23,57,57,33.9,7.5,15.6,0.481,2.3,5.9,0.382,5.2,9.6,0.543,0.554,3.1,4.3,0.724,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3
bogdabo02,bojan bogdanovic,Bojan Bogdanović,2020,UTA,SF,30,63,63,33.1,6.6,14.8,0.447,3.0,7.3,0.414,3.6,7.6,0.479,0.548,4.0,4.4,0.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2
butleji01,jimmy butler,Jimmy Butler,2020,MIA,SF,30,58,58,33.8,5.9,13.1,0.455,0.5,2.1,0.244,5.4,11.0,0.495,0.474,7.6,9.1,0.834,1.8,4.8,6.7,6.0,1.8,0.6,2.2,1.4,19.9
jokicni01,nikola jokic,Nikola Jokić,2020,DEN,C,24,73,73,32.0,7.7,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.817,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,19.9
warretj01,tj warren,T.J. Warren,2020,IND,SF,26,67,67,32.9,8.0,14.9,0.536,1.4,3.4,0.403,6.6,11.5,0.575,0.581,2.5,3.0,0.819,1.0,3.2,4.2,1.5,1.2,0.5,1.3,2.8,19.8
harrito02,tobias harris,Tobias Harris,2020,PHI,PF,27,72,72,34.3,7.7,16.3,0.471,1.8,5.0,0.367,5.9,11.3,0.517,0.527,2.4,3.0,0.806,1.0,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6
vucevni01,nikola vucevic,Nikola Vučević,2020,ORL,C,29,62,62,32.2,8.0,16.7,0.477,1.6,4.7,0.339,6.4,12.0,0.531,0.525,2.1,2.7,0.784,2.3,8.6,10.9,3.6,0.9,0.8,1.4,2.2,19.6
randlju01,julius randle,Julius Randle,2020,NYK,PF,25,64,64,32.5,7.2,15.7,0.46,1.0,3.6,0.277,6.2,12.1,0.515,0.492,4.0,5.5,0.733,2.4,7.4,9.7,3.1,0.8,0.3,3.0,2.8,19.5
lowryky01,kyle lowry,Kyle Lowry,2020,TOR,PG,33,58,58,36.2,5.8,13.8,0.416,2.8,8.0,0.352,2.9,5.8,0.504,0.518,5.1,5.9,0.857,0.6,4.5,5.0,7.5,1.4,0.4,3.1,3.3,19.4
hieldbu01,buddy hield,Buddy Hield,2020,SAC,SG,27,72,44,30.8,6.9,16.1,0.429,3.8,9.6,0.394,3.2,6.6,0.479,0.545,1.6,1.9,0.846,0.8,3.8,4.6,3.0,0.9,0.2,2.3,2.3,19.2
holidjr01,jrue holiday,Jrue Holiday,2020,NOP,SG,29,61,61,34.7,7.5,16.5,0.455,2.0,5.7,0.353,5.5,10.8,0.509,0.516,2.1,3.0,0.709,1.3,3.5,4.8,6.7,1.6,0.8,3.0,2.4,19.1
gilgesh01,shai gilgeous alexander,Shai Gilgeous-Alexander,2020,OKC,SG,21,70,70,34.7,6.8,14.5,0.471,1.2,3.6,0.347,5.6,10.9,0.512,0.514,4.1,5.1,0.807,0.7,5.2,5.9,3.3,1.1,0.7,1.9,1.7,19.0
aldrila01,lamarcus aldridge,LaMarcus Aldridge,2020,SAS,C,34,53,53,33.1,7.4,15.0,0.493,1.2,3.0,0.389,6.2,12.0,0.519,0.532,3.0,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
schrode01,dennis schroder,Dennis Schröder,2020,OKC,PG,26,65,2,30.8,7.0,14.8,0.469,1.9,5.0,0.385,5.0,9.8,0.513,0.534,3.0,3.6,0.839,0.3,3.3,3.6,4.0,0.7,0.2,2.6,2.2,18.9
gallida01,danilo gallinari,Danilo Gallinari,2020,OKC,PF,31,62,62,29.6,5.8,13.2,0.438,2.9,7.1,0.405,2.9,6.1,0.476,0.547,4.3,4.8,0.893,0.5,4.6,5.2,1.9,0.7,0.1,1.2,1.2,18.7
leverca01,caris levert,Caris LeVert,2020,BRK,SG,25,45,31,29.6,6.9,16.3,0.425,1.8,4.9,0.364,5.1,11.4,0.451,0.48,3.1,4.4,0.711,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7
oubreke01,kelly oubre,Kelly Oubre Jr.,2020,PHO,SF,24,56,55,34.5,6.7,14.8,0.452,1.9,5.5,0.352,4.7,9.3,0.511,0.517,3.4,4.4,0.78,1.2,5.3,6.4,1.5,1.3,0.7,1.5,3.4,18.7
harremo01,montrezl harrell,Montrezl Harrell,2020,LAC,C,26,63,2,27.8,7.5,12.9,0.58,0.0,0.3,0.0,7.5,12.6,0.593,0.58,3.7,5.6,0.658,2.6,4.5,7.1,1.7,0.6,1.1,1.7,2.3,18.6
fournev01,evan fournier,Evan Fournier,2020,ORL,SF,27,66,66,31.5,6.6,14.1,0.467,2.6,6.6,0.399,4.0,7.5,0.527,0.56,2.7,3.3,0.818,0.3,2.3,2.6,3.2,1.1,0.2,1.9,2.4,18.5
murraja01,jamal murray,Jamal Murray,2020,DEN,PG,22,59,59,32.3,6.9,15.2,0.456,1.9,5.5,0.346,5.0,9.7,0.519,0.519,2.8,3.1,0.881,0.8,3.2,4.0,4.8,1.1,0.3,2.2,1.7,18.5
sabondo01,domantas sabonis,Domantas Sabonis,2020,IND,PF,23,62,62,34.8,7.4,13.7,0.54,0.3,1.1,0.254,7.1,12.6,0.565,0.55,3.5,4.8,0.723,3.0,9.4,12.4,5.0,0.8,0.5,2.7,3.1,18.5
aytonde01,deandre ayton,Deandre Ayton,2020,PHO,C,21,38,32,32.5,8.2,14.9,0.546,0.1,0.3,0.231,8.1,14.6,0.553,0.548,1.8,2.3,0.753,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2
grahade01,devonte graham,Devonte' Graham,2020,CHO,PG,24,63,53,35.1,5.8,15.3,0.382,3.5,9.3,0.373,2.4,6.0,0.397,0.495,3.0,3.7,0.82,0.7,2.7,3.4,7.5,1.0,0.2,2.9,1.8,18.2
willilo02,lou williams,Lou Williams,2020,LAC,PG,33,65,8,28.7,6.0,14.4,0.418,1.7,4.8,0.352,4.3,9.6,0.451,0.477,4.5,5.2,0.861,0.5,2.6,3.1,5.6,0.7,0.2,2.8,1.2,18.2
rosede01,derrick rose,Derrick Rose,2020,DET,PG,31,50,15,26.0,7.4,15.1,0.49,0.9,2.9,0.306,6.5,12.1,0.535,0.52,2.4,2.8,0.871,0.5,1.9,2.4,5.6,0.8,0.3,2.5,1.0,18.1
roziete01,terry rozier,Terry Rozier,2020,CHO,PG,25,63,63,34.3,6.3,14.9,0.423,2.7,6.7,0.407,3.6,8.2,0.436,0.514,2.6,3.0,0.874,0.8,3.6,4.4,4.1,1.0,0.2,2.2,2.0,18.0
moranja01,ja morant,Ja Morant,2020,MEM,PG,20,67,67,31.0,6.7,14.0,0.477,0.9,2.7,0.335,5.8,11.3,0.511,0.509,3.6,4.6,0.776,0.8,3.1,3.9,7.3,0.9,0.3,3.3,1.6,17.8
drumman01,andre drummond,Andre Drummond,2020,2TM,C,26,57,56,33.0,7.3,13.8,0.533,0.1,0.6,0.143,7.2,13.1,0.551,0.536,3.0,5.2,0.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7
loveke01,kevin love,Kevin Love,2020,CLE,PF,31,56,56,31.8,5.8,13.0,0.45,2.6,7.0,0.374,3.2,6.0,0.537,0.55,3.3,3.9,0.854,1.0,8.8,9.8,3.2,0.6,0.3,2.5,1.6,17.6
paulch01,chris paul,Chris Paul,2020,OKC,PG,34,70,70,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.554,0.552,3.6,4.0,0.907,0.4,4.6,5.0,6.7,1.6,0.2,2.3,2.3,17.6
vanvlfr01,fred vanvleet,Fred VanVleet,2020,TOR,SG,25,54,54,35.7,5.9,14.3,0.413,2.7,6.9,0.39,3.2,7.4,0.434,0.507,3.1,3.7,0.848,0.3,3.4,3.8,6.6,1.9,0.3,2.2,2.4,17.6
haywago01,gordon hayward,Gordon Hayward,2020,BOS,SF,29,52,52,33.5,6.7,13.5,0.5,1.6,4.3,0.383,5.1,9.2,0.554,0.561,2.4,2.8,0.855,1.1,5.6,6.7,4.1,0.7,0.4,1.8,1.8,17.5
